time,Price_first,Price_max,Price_min,Price_last,Volume_sum,high,low,open,close,volume,open%,close%,high%,low%,RSI,%K,%D,Williams_%R,ADL,cmf,obv
2019-01-02,4874.0,4895.0,4861.0,4862.0,36527479,4895.0,4861.0,4874.0,4862.0,36527379,0.0026743468422135365,0.00041152263374485596,0.0014320785597381341,0.00164846486709252,47.774532542874034,53.75,57.63374485596708,-46.25,-177303437.4453491,-0.3917813274442378,72858327
2019-01-05,4864.0,4892.0,4863.0,4869.0,26313987,4892.0,4863.0,4864.0,4869.0,26313887,-0.002051702913418137,0.001439736733854381,-0.0006128702757916241,0.0004114379757251594,50.2662101159302,62.5,55.833333333333336,-37.5,-192728819.47983184,-0.49208989663229824,99172214
2019-01-06,4873.0,4887.0,4851.0,4862.0,26968955,4887.0,4851.0,4873.0,4862.0,26968855,0.001850328947368421,-0.0014376668720476485,-0.0010220768601798855,-0.0024676125848241827,47.809744909178136,53.75,56.666666666666664,-46.25,-203216707.5353874,-0.4252596358558319,72203359
2019-01-07,4861.0,4873.0,4848.0,4861.0,21437530,4873.0,4848.0,4861.0,4861.0,21437430,-0.002462548737943772,-0.00020567667626491157,-0.002864743196234909,-0.0006184291898577613,47.45297797967952,52.5,56.25,-47.5,-202359210.3353874,-0.37638569629287477,50765929
2019-01-08,4858.0,4877.0,4846.0,4848.0,18953937,4877.0,4846.0,4858.0,4848.0,18953837,-0.0006171569635877391,-0.0026743468422135365,0.0008208495793145906,-0.00041254125412541255,42.96443577902585,30.136986301369863,45.46232876712329,-69.86301369863014,-218867390.94829065,-0.40721837396136207,31812092
2019-01-09,4867.0,4872.0,4844.0,4848.0,23343611,4872.0,4844.0,4867.0,4848.0,23343511,0.0018526142445450802,0.0,-0.001025220422390814,-0.0004127115146512588,42.96443577902585,30.136986301369863,37.59132420091324,-69.86301369863014,-235541327.37686208,-0.3963893896976431,55155603
2019-01-12,4850.0,4897.0,4848.0,4897.0,53098202,4897.0,4848.0,4850.0,4897.0,53098102,-0.003492911444421615,0.010107260726072606,0.0051313628899835794,0.0008257638315441783,59.649091566380434,97.26027397260275,52.51141552511416,-2.73972602739726,-182443225.37686208,-0.2155316935173816,108253705
2019-01-13,4921.0,4925.0,4892.0,4896.0,91067959,4925.0,4892.0,4921.0,4896.0,91067859,0.014639175257731958,-0.00020420665713702266,0.005717786399836635,0.009075907590759076,59.268042679303505,70.70707070707071,66.03477699368112,-29.292929292929294,-251434027.64958936,-0.3055431931010172,17185846
2019-01-14,4898.0,4898.0,4868.0,4868.0,31548774,4898.0,4868.0,4898.0,4868.0,31548674,-0.004673846779109937,-0.005718954248366013,-0.0054822335025380715,-0.004905968928863451,49.695327537493085,38.70967741935484,68.8923406996761,-61.29032258064516,-282982701.64958936,-0.35037562180498577,-14362828
2019-01-15,4863.0,4878.0,4849.0,4854.0,25433154,4878.0,4849.0,4863.0,4854.0,25433054,-0.0071457737852184565,-0.002875924404272802,-0.004083299305839118,-0.0039030402629416597,45.71913636834206,13.414634146341463,40.94379409092234,-86.58536585365853,-299645737.0288997,-0.36081335706828555,-39795882
2019-01-16,4863.0,4863.0,4835.0,4849.0,34064041,4863.0,4835.0,4863.0,4849.0,34063941,0.0,-0.0010300782859497322,-0.003075030750307503,-0.0028871932357187047,44.35419787786881,15.555555555555555,22.559955707083954,-84.44444444444444,-299645737.0288997,-0.3718987393002144,-73859823
2019-01-19,4858.0,4868.0,4843.0,4857.0,25170591,4868.0,4843.0,4858.0,4857.0,25170491,-0.0010281719103434094,0.0016498247061249743,0.0010281719103434094,0.001654601861427094,47.076690570309054,24.444444444444443,17.804878048780488,-75.55555555555556,-296625278.1088997,-0.34643245693898583,-48689332
