time,Price_first,Price_max,Price_min,Price_last,Volume_sum,high,low,open,close,volume,open%,close%,high%,low%,RSI,%K,%D,Williams_%R,ADL,cmf,obv
2020-10-27,10568.0,10747.0,9901.0,9988.0,198218668,10747.0,9901.0,10568.0,9988.0,198218568,0.007531699876060635,-0.047310186951545215,0.0,-0.0555184584565487,38.568223950652424,1.8522461145411966,3.4025837103851995,-98.1477538854588,-42990331.15289557,-0.00823303695787138,-697533554
2020-10-28,10058.0,10718.0,9668.0,10656.0,220798863,10718.0,9668.0,10058.0,10656.0,220798763,-0.04825889477668433,0.06688025630756908,-0.0026984274681306412,-0.02353297646702353,45.849243397667934,20.040567951318458,7.3057051341443895,-79.95943204868153,151733149.35948536,0.027940618810807626,-476734791
2020-10-31,10658.0,10918.0,10468.0,10918.0,129786153,10918.0,10468.0,10658.0,10918.0,129786053,0.059654006760787436,0.024587087087087088,0.018660197798096658,0.08274720728175423,48.43089835593622,25.35496957403651,15.749261213298723,-74.64503042596348,281519202.3594854,0.05077234503570675,-346948738
2020-11-01,10914.0,10914.0,10230.0,10230.0,122000820,10914.0,10230.0,10914.0,10230.0,122000720,0.024019515856633516,-0.06301520424986261,-0.00036636746656896867,-0.022735957202904087,42.67703273371223,11.399594320486816,18.931710615280597,-88.60040567951319,159518482.3594854,-0.10149605169469741,-468949458
2020-11-02,9968.0,10458.0,9759.0,9828.0,98914705,10458.0,9759.0,9968.0,9828.0,98914605,-0.08667766171889317,-0.03929618768328446,-0.04178119846069269,-0.046041055718475075,39.708492827076796,3.2454361054766734,13.333333333333334,-96.75456389452333,80132082.63845535,-0.17430919847054258,-567864063
2020-11-04,9991.0,10458.0,9758.0,10231.0,88289623,10458.0,9758.0,9991.0,10231.0,88289523,0.002307383627608347,0.041005291005291,0.0,-0.00010246951531919253,43.919844969975784,11.419878296146045,8.688302907369847,-88.58012170385396,111159543.57845534,-0.17857324530437907,-479574540
2020-11-07,10148.0,10448.0,9559.0,9559.0,88768717,10448.0,9559.0,10148.0,9559.0,88768617,0.01571414272845561,-0.06568272896100089,-0.0009562057754828839,-0.02039352326296372,39.02481675135154,0.0,4.888438133874241,-100.0,22390926.578455344,-0.19593090407667293,-568343157
2020-11-14,9559.0,10219.0,8894.0,9559.0,223387192,10219.0,8894.0,9559.0,9559.0,223387092,-0.05804099329917225,0.0,-0.021918070444104133,-0.06956794643791192,39.02481675135154,14.570552147239264,8.663476814461772,-85.42944785276073,23233896.73694591,-0.2874285115818937,-344956065
2020-11-15,9459.0,9609.0,8727.0,8727.0,265392515,9609.0,8727.0,9459.0,8727.0,265392415,-0.01046134532900931,-0.08703839313735746,-0.05969272922986594,-0.01877670339554756,33.6410379490663,0.0,4.856850715746423,-100.0,-242158518.2630541,-0.4393262562377363,-610348480
2020-11-16,8282.0,8899.0,8267.0,8274.0,218297958,8899.0,8267.0,8282.0,8274.0,218297858,-0.12443175811396553,-0.051907872121003784,-0.07388906233739202,-0.05270998052022459,31.123401861039966,0.19374481040686412,4.921432319215377,-99.80625518959313,-455620664.2187503,-0.471686901578302,-828646338
2020-11-17,8360.0,8759.0,8114.0,8509.0,221478177,8759.0,8114.0,8360.0,8509.0,221478077,0.00941801497222893,0.028402223833695915,-0.015732104730868637,-0.018507318253296236,33.887549077512986,10.488582049920339,3.560775620109069,-89.51141795007966,-405831019.00169605,-0.5044464873109862,-607168261
2020-11-18,8559.0,8959.0,8359.0,8857.0,242582100,8959.0,8359.0,8559.0,8857.0,242582000,0.02380382775119617,0.0408978728405218,0.022833656810138145,0.030194725166379097,37.864285804563636,20.119144327105335,10.267157062477514,-79.88085567289467,-245726899.00169605,-0.37248293923276293,-364586261
2020-11-21,8859.0,8859.0,8075.0,8075.0,223545307,8859.0,8075.0,8859.0,8075.0,223545207,0.03505082369435682,-0.08829174664107485,-0.011161960040183057,-0.03397535590381624,33.05294678524152,0.0,10.202575459008559,-100.0,-469272106.00169605,-0.35570074687434755,-588131468
2020-11-22,7880.0,8110.0,7678.0,7861.0,145065026,8110.0,7678.0,7880.0,7861.0,145064926,-0.11050908680437972,-0.0265015479876161,-0.08454678857658877,-0.0491640866873065,31.85986073827368,5.648148148148148,8.589097491751163,-94.35185185185185,-491434803.02947384,-0.2785064700662591,-733196394
2020-11-23,7799.0,8259.0,7799.0,8139.0,111895879,8259.0,7799.0,7799.0,8139.0,111895779,-0.010279187817258882,0.03536445744816181,0.018372379778051787,0.015759312320916905,35.13541596111956,14.228395061728396,6.6255144032921836,-85.77160493827161,-437919430.46425647,-0.23648941621642686,-621300615
2020-11-24,8259.0,8259.0,7439.0,7559.0,141234686,8259.0,7439.0,8259.0,7559.0,141234586,0.058981920759071674,-0.07126182577712249,0.0,-0.046159764072316964,31.710478930530456,3.4492670307559643,7.775270080210839,-96.55073296924404,-537817064.4642565,-0.23540851054695394,-762535201
2020-11-25,7581.0,7980.0,7459.0,7809.0,122354036,7980.0,7459.0,7581.0,7809.0,122353936,-0.08209226298583364,0.03307315782510914,-0.03378132945877225,0.0026885334050275574,34.66671222555489,10.647482014388489,9.441714702290952,-89.35251798561151,-495779915.62740433,-0.257641234628109,-640181265
2020-11-28,7459.0,7959.0,7459.0,7659.0,139127931,7959.0,7459.0,7459.0,7659.0,139127831,-0.016092863738293103,-0.01920860545524395,-0.002631578947368421,0.0,33.7234074764239,7.28718118582312,7.12797674365586,-92.71281881417688,-523605481.8274043,-0.28605777846323394,-779309096
2020-11-29,7819.0,8260.0,7689.0,8260.0,193929177,8260.0,7689.0,7819.0,8260.0,193929077,0.04826384233811503,0.07846977412194804,0.03781882145998241,0.030835232604906823,40.68734156165852,27.1944352434581,15.04303281455657,-72.8055647565419,-329676404.8274043,-0.19813582863395934,-585380019
2020-11-30,8605.0,8605.0,8109.0,8329.0,137839869,8605.0,8109.0,8605.0,8329.0,137839769,0.10052436372937716,0.008353510895883777,0.041767554479418885,0.05462348809988295,41.44801007789018,29.57793286806248,21.35318309911457,-70.42206713193752,-345238959.39192045,-0.1379273585160033,-447540250
2020-12-01,8082.0,8258.0,7778.0,7960.0,147012603,8258.0,7778.0,8082.0,7960.0,147012503,-0.06077861708309123,-0.04430303757954136,-0.04032539221382917,-0.04081884326057467,38.59721512797458,18.741007194244606,25.171125101921728,-81.2589928057554,-380766980.9502538,-0.10292736022128714,-594552753
2020-12-02,8509.0,8509.0,8020.0,8136.0,196622093,8509.0,8020.0,8509.0,8136.0,196621993,0.0528334570650829,0.022110552763819097,0.03039476870913054,0.03111339676009257,40.69249916619866,32.11981566820276,26.81291857683662,-67.88018433179724,-484104102.0156934,-0.19519043638145847,-397930760
2020-12-05,8404.0,8406.0,8059.0,8199.0,267081125,8406.0,8059.0,8404.0,8199.0,267081025,-0.012339875426019508,0.007743362831858407,-0.012104830179809614,0.00486284289276808,41.46251815839985,50.0,33.62027428748246,-50.0,-535673060.7332727,-0.24071758016587708,-130849735
2020-12-06,8309.0,8559.0,7997.0,8152.0,169691542,8559.0,7997.0,8309.0,8152.0,169691442,-0.011304140885292718,-0.005732406391023295,0.018201284796573874,-0.0076932621913388755,41.03447975356217,46.9078947368421,43.009236801681624,-53.0921052631579,-611762461.7724186,-0.22404621446220083,-300541177
