time,Price_first,Price_max,Price_min,Price_last,Volume_sum,high,low,open,close,volume,open%,close%,high%,low%,RSI,%K,%D,Williams_%R,ADL,cmf,obv
2019-01-08,1334.0,1349.0,1268.0,1322.0,241748074,1349.0,1268.0,1334.0,1322.0,241747974,-0.024853801169590642,-0.0007558578987150416,-0.03089080459770115,-0.0364741641337386,68.15153372057893,84.74945533769063,89.52680398758828,-15.250544662309368,311333240.0539845,0.05495055965508574,1878317269
2019-01-09,1268.0,1341.0,1250.0,1318.0,182677009,1341.0,1250.0,1268.0,1318.0,182676909,-0.049475262368815595,-0.0030257186081694403,-0.005930318754633061,-0.014195583596214511,67.64418207690915,83.87799564270152,84.53159041394336,-16.122004357298476,401667975.2737647,0.08102965552328002,1695640360
2019-01-12,1307.0,1363.0,1238.0,1262.0,159342038,1363.0,1238.0,1307.0,1262.0,159341938,0.030757097791798107,-0.042488619119878605,0.01640566741237882,-0.0096,60.81799402288072,70.04608294930875,79.55784464323364,-29.953917050691246,303513341.46576476,0.014851316785972523,1536298422
2019-01-13,1273.0,1355.0,1263.0,1325.0,219398926,1355.0,1263.0,1273.0,1325.0,219398826,-0.026013771996939557,0.04992076069730586,-0.00586940572267058,0.020193861066235864,65.08652188211273,78.79746835443038,77.57384898214688,-21.20253164556962,379825976.5961995,0.07317836129232458,1755697248
2019-01-14,1353.0,1390.0,1323.0,1354.0,215870837,1390.0,1323.0,1353.0,1354.0,215870737,0.06284367635506677,0.02188679245283019,0.025830258302583026,0.047505938242280284,66.87541358607476,87.70226537216828,78.84860555863581,-12.297734627831716,363716220.1036622,0.039396760426285565,1971567985
2019-01-15,1389.0,1422.0,1362.0,1400.0,167704211,1422.0,1362.0,1389.0,1400.0,167704111,0.026607538802660754,0.033973412112259974,0.02302158273381295,0.02947845804988662,69.54132920049243,92.05776173285199,86.18583181981688,-7.9422382671480145,408437316.37032884,0.06259157001011893,2139272096
2019-01-16,1443.0,1473.0,1432.0,1438.0,156716258,1473.0,1432.0,1443.0,1438.0,156716158,0.038876889848812095,0.027142857142857142,0.035864978902953586,0.0513950073421439,71.57642598425988,89.32926829268293,89.6964317992344,-10.670731707317072,297589302.1752069,0.06712435517591175,2295988254
2019-01-19,1443.0,1443.0,1398.0,1410.0,106159611,1443.0,1398.0,1443.0,1410.0,106159511,0.0,-0.019471488178025034,-0.020366598778004074,-0.023743016759776536,67.97257392384068,80.79268292682927,87.39323765078807,-19.20731707317073,248048197.04187357,0.09108302757386146,2189828743
2019-01-20,1425.0,1437.0,1328.0,1344.0,195485485,1437.0,1328.0,1425.0,1344.0,195485385,-0.012474012474012475,-0.04680851063829787,-0.004158004158004158,-0.05007153075822604,60.26948339023023,45.1063829787234,71.74277806607853,-54.8936170212766,109953016.81251577,0.07458605180876231,1994343358
2019-01-21,1323.0,1393.0,1272.0,1363.0,250178834,1393.0,1272.0,1323.0,1363.0,250178734,-0.07157894736842105,0.014136904761904762,-0.030619345859429367,-0.04216867469879518,61.61799080969778,53.191489361702125,59.696851755751595,-46.808510638297875,236076180.23400337,0.08476896151255689,2244522092
2019-01-22,1387.0,1387.0,1373.0,1387.0,260000217,1387.0,1373.0,1387.0,1387.0,260000117,0.04837490551776266,0.01760821716801174,-0.004307250538406317,0.07940251572327044,63.31192441674058,63.40425531914894,53.90070921985816,-36.59574468085106,496076297.23400337,0.1853061983412402,2504522209
2019-01-23,1453.0,1471.0,1425.0,1471.0,265492613,1471.0,1425.0,1453.0,1471.0,265492513,0.047584715212689255,0.06056236481614996,0.06056236481614996,0.037873270211216316,68.54452571719605,99.14893617021276,71.91489361702128,-0.851063829787234,761568810.2340033,0.1113243918909251,2770014722
2019-01-26,1473.0,1547.0,1459.0,1547.0,319865343,1547.0,1459.0,1473.0,1547.0,319865243,0.013764624913971095,0.05166553365057784,0.05166553365057784,0.023859649122807018,72.38245348234219,100.0,87.51773049645391,-0.0,1081434053.2340033,0.08656868405827217,3089879965
2019-01-27,1611.0,1611.0,1448.0,1473.0,831296526,1611.0,1448.0,1611.0,1473.0,831296426,0.09368635437881874,-0.04783451842275371,0.04137039431157078,-0.0075394105551747775,64.17230505129197,63.002680965147455,87.3838723784534,-36.997319034852545,505136530.91498494,0.04582707946362051,2258583539
2019-01-28,1513.0,1523.0,1468.0,1482.0,377067724,1523.0,1468.0,1513.0,1482.0,377067624,-0.06083178150217256,0.006109979633401222,-0.05462445685909373,0.013812154696132596,64.69678327470314,65.41554959785523,76.13941018766756,-34.584450402144775,320030606.40589404,0.02592368291002331,2635651163
2019-01-29,1480.0,1512.0,1469.0,1471.0,166574837,1512.0,1469.0,1480.0,1471.0,166574737,-0.021810971579643092,-0.007422402159244264,-0.007222586999343401,0.0006811989100817438,63.47375183415472,62.466487935656836,63.62823949955317,-37.533512064343164,168951193.77798706,0.03172958950056403,2469076426
2019-01-30,1473.0,1488.0,1403.0,1403.0,197256551,1488.0,1403.0,1473.0,1403.0,197256451,-0.00472972972972973,-0.046227056424201225,-0.015873015873015872,-0.044928522804629,56.378477555048754,40.229885057471265,56.03730753032778,-59.770114942528735,-28305257.222012937,-0.07341925813381052,2271819975
2019-02-02,1404.0,1478.0,1370.0,1445.0,302041589,1478.0,1370.0,1404.0,1445.0,302041489,-0.04684317718940937,0.02993585174625802,-0.006720430107526882,-0.023521026372059873,59.39741273565451,51.03244837758112,51.24294045690308,-48.96755162241888,89155321.83354262,-0.0005008807712603719,2573861464
2019-02-03,1422.0,1422.0,1333.0,1389.0,198011166,1422.0,1333.0,1422.0,1389.0,198011066,0.01282051282051282,-0.03875432525951557,-0.037889039242219216,-0.027007299270072994,54.02835432390155,34.51327433628319,41.925202590445195,-65.48672566371681,140326720.9121943,-0.04340272142739133,2375850398
2019-02-04,1413.0,1443.0,1373.0,1404.0,129597834,1443.0,1373.0,1413.0,1404.0,129597734,-0.006329113924050633,0.01079913606911447,0.014767932489451477,0.030007501875468866,55.19658769515984,38.93805309734513,41.494591937069806,-61.06194690265487,125515551.31219432,-0.02129193286034569,2505448132
2019-02-05,1391.0,1411.0,1359.0,1368.0,133274203,1411.0,1359.0,1391.0,1368.0,133274103,-0.01556970983722576,-0.02564102564102564,-0.022176022176022176,-0.010196649672250545,51.7946938854867,28.31858407079646,33.92330383480826,-71.68141592920354,38374791.65834816,-0.05646625865715894,2372174029
2019-02-06,1403.0,1437.0,1394.0,1403.0,84827472,1437.0,1394.0,1403.0,1403.0,84827372,0.008626887131560028,0.025584795321637425,0.01842664776754075,0.025754231052244298,54.71679921692457,38.64306784660767,35.299901671583086,-61.35693215339233,-10943447.876535565,-0.087119396133675,2457001401
2019-02-10,1415.0,1441.0,1403.0,1413.0,63237333,1441.0,1403.0,1415.0,1413.0,63237233,0.008553100498930863,0.007127583749109052,0.0027835768963117608,0.006456241032998565,55.5459415266337,41.5929203539823,36.18485742379548,-58.4070796460177,-40897926.66600925,-0.07422567745924083,2520238634
2019-02-12,1406.0,1420.0,1373.0,1392.0,111902049,1420.0,1373.0,1406.0,1392.0,111901949,-0.0063604240282685515,-0.014861995753715499,-0.01457321304649549,-0.021382751247327157,53.33729154078792,21.223021582733814,33.81966992777459,-78.77697841726619,-62325959.453243285,-0.09755018434340276,2408336685
2019-02-13,1373.0,1388.0,1323.0,1333.0,88255205,1388.0,1323.0,1373.0,1333.0,88255105,-0.023470839260312945,-0.042385057471264365,-0.022535211267605635,-0.03641660597232338,47.60951905669103,3.4722222222222223,22.096054719646116,-96.52777777777777,-123425647.53016636,-0.11058982168165384,2320081580
2019-02-16,1349.0,1353.0,1267.0,1293.0,143388510,1353.0,1267.0,1349.0,1293.0,143388410,-0.01747997086671522,-0.030007501875468866,-0.02521613832853026,-0.042328042328042326,44.14806082433308,7.558139534883721,10.751127779946586,-92.44186046511628,-180114088.69295704,-0.13435322311078426,2176693170
2019-02-17,1296.0,1298.0,1245.0,1277.0,85693027,1298.0,1245.0,1296.0,1277.0,85692927,-0.039288361749444035,-0.01237432327919567,-0.04065040650406504,-0.017363851617995266,42.80737034327805,8.743169398907105,6.59117705200435,-91.2568306010929,-162328764.22125894,-0.10671933027481692,2091000243
2019-02-18,1266.0,1354.0,1266.0,1354.0,130166069,1354.0,1266.0,1266.0,1354.0,130165969,-0.023148148148148147,0.060297572435395456,0.04314329738058552,0.016867469879518072,50.58475025761929,39.20863309352518,18.503314009105335,-60.79136690647482,-32162795.22125894,-0.06465993809035625,2221166212
2019-02-19,1369.0,1397.0,1313.0,1315.0,74423357,1397.0,1313.0,1369.0,1315.0,74423257,0.08135860979462875,-0.02880354505169867,0.03175775480059084,0.03712480252764613,47.09176477971966,26.217228464419474,24.723010318950585,-73.78277153558052,-103042087.60221131,-0.05056205441617377,2146742955
2019-02-20,1304.0,1384.0,1304.0,1358.0,71963894,1384.0,1304.0,1304.0,1358.0,71963794,-0.04747991234477721,0.03269961977186312,-0.009305654974946313,-0.006854531607006854,51.10103534570667,46.50205761316872,37.30930639037113,-53.49794238683128,-77854759.70221132,-0.0778148208267197,2218706749
2019-02-23,1381.0,1418.0,1364.0,1382.0,81011788,1418.0,1364.0,1381.0,1382.0,81011688,0.059049079754601226,0.017673048600883652,0.024566473988439308,0.046012269938650305,53.231259167134226,58.798283261802574,43.839189779796925,-41.201716738197426,-104858655.70221132,-0.1558706001428823,2299718437
2019-02-24,1410.0,1458.0,1388.0,1423.0,164828202,1458.0,1388.0,1410.0,1423.0,164828102,0.020999275887038378,0.029667149059334298,0.028208744710860368,0.017595307917888565,56.70147120164523,83.5680751173709,62.956138664114064,-16.431924882629108,-104858655.70221132,-0.23075929486684707,2464546539
2019-02-25,1423.0,1462.0,1394.0,1404.0,108155804,1462.0,1394.0,1423.0,1404.0,108155704,0.009219858156028368,-0.013352073085031623,0.0027434842249657062,0.004322766570605188,54.67678496093355,73.27188940092167,71.87941592669837,-26.72811059907834,-181203858.52574074,-0.3563782661124764,2356390835
2019-02-26,1384.0,1413.0,1358.0,1393.0,79778132,1413.0,1358.0,1384.0,1393.0,79778032,-0.027406886858749122,-0.007834757834757835,-0.033515731874145006,-0.02582496413199426,53.486016225478664,68.20276497695852,75.0142431650837,-31.797235023041473,-159446213.43483165,-0.23807773400503646,2276612803
2019-02-27,1393.0,1428.0,1393.0,1407.0,56944776,1428.0,1393.0,1393.0,1407.0,56944676,0.006502890173410405,0.010050251256281407,0.010615711252653927,0.02577319587628866,54.83421536869355,74.65437788018433,72.04301075268818,-25.34562211981567,-170835148.63483164,-0.19862413969919107,2333557479
2019-03-02,1443.0,1457.0,1404.0,1433.0,111521321,1457.0,1404.0,1443.0,1433.0,111521221,0.03589375448671931,0.01847903340440654,0.02030812324929972,0.007896625987078248,57.308996892118216,86.63594470046083,76.49769585253456,-13.36405529953917,-160314278.72917125,-0.13626979454295626,2445078700
2019-03-03,1451.0,1489.0,1438.0,1462.0,136632400,1489.0,1438.0,1451.0,1462.0,136632300,0.005544005544005544,0.020237264480111653,0.02196293754289636,0.024216524216524215,59.945270273518254,88.93442622950819,83.40824960338445,-11.065573770491802,-168351472.8468183,-0.05945114466682913,2581711000
