time,Price_first,Price_max,Price_min,Price_last,Volume_sum,high,low,open,close,volume,open%,close%,high%,low%,RSI,%K,%D,Williams_%R,ADL,cmf,obv,macd,ichimoku_base_line,ichimoku_conversion_line,ichimoku_a,ichimoku_b
2018-12-16 10:00:00,632.0,761.0,632.0,663.0,1294736,761.0,632.0,632.0,663.0,1294736,-0.1354309165526676,0.04739336492890995,-0.021850899742930592,-0.001579778830963665,39.942565262230964,13.537117903930131,6.179039301310044,-86.46288209606988,-10605557.575559186,-0.34565488293683827,5402422,-32.607295043300155,756.5,731.0,743.75,756.5
2018-12-16 11:00:00,663.0,670.0,632.0,632.0,326511,670.0,632.0,663.0,632.0,326511,0.0490506329113924,-0.04675716440422323,-0.11957950065703023,0.0,36.78145580772862,0.0,4.512372634643377,-100.0,-10932068.575559186,-0.35222796319109756,5075911,-35.73160627944799,756.5,721.0,738.75,756.5
2018-12-16 12:00:00,634.0,744.0,616.0,730.0,1623592,744.0,616.0,634.0,730.0,1623592,-0.043740573152337855,0.1550632911392405,0.11044776119402985,-0.02531645569620253,50.199430165622154,51.81818181818182,21.78509990737065,-48.18181818181818,-9663637.325559186,-0.2618065857463287,6699503,-29.95456686298894,748.5,713.0,730.75,748.5
2018-12-17 09:00:00,614.0,731.0,608.0,608.0,1103368,731.0,608.0,614.0,608.0,1103368,-0.031545741324921134,-0.16712328767123288,-0.01747311827956989,-0.012987012987012988,39.079343645854756,0.0,17.272727272727273,-100.0,-10767005.325559186,-0.25911392884656764,5596135,-34.819227526868644,744.5,709.0,726.75,744.5
2018-12-17 10:00:00,681.0,681.0,609.0,611.0,96113,681.0,609.0,681.0,611.0,96113,0.10912052117263844,0.004934210526315789,-0.06839945280437756,0.001644736842105263,39.43463108470082,1.3157894736842106,17.711323763955345,-98.6842105263158,-10857778.714448074,-0.2531208713931369,5692248,-37.99445479883286,744.5,699.5,722.0,744.5
2018-12-17 11:00:00,611.0,611.0,581.0,581.0,493384,611.0,581.0,611.0,581.0,493384,-0.1027900146842878,-0.049099836333878884,-0.1027900146842878,-0.04597701149425287,37.104266792822244,0.0,0.4385964912280702,-100.0,-11351162.714448074,-0.28082629563938327,5198864,-42.44234562673853,726.0,680.0,703.0,731.0
2018-12-17 12:00:00,562.0,620.0,492.0,551.0,1042549,620.0,492.0,562.0,551.0,1042549,-0.08019639934533551,-0.05163511187607573,0.014729950900163666,-0.153184165232358,34.88423150340347,18.553459119496857,6.62308286439369,-81.44654088050315,-11432611.855073074,-0.30204267480398045,4156315,-47.83664931667329,681.5,635.0,658.25,686.5
2018-12-18 09:00:00,505.0,671.0,505.0,611.0,3370658,671.0,505.0,505.0,611.0,3370658,-0.10142348754448399,0.1088929219600726,0.08225806451612903,0.026422764227642278,42.31772678757735,37.42138364779874,18.658280922431867,-62.57861635220126,-10498574.09603693,-0.28410427454397325,7526973,-46.73148383936655,681.5,635.0,658.25,686.5
2018-12-18 10:00:00,581.0,649.0,543.0,551.0,396821,649.0,543.0,581.0,551.0,396821,0.1504950495049505,-0.09819967266775777,-0.03278688524590164,0.07524752475247524,37.684777574505695,18.553459119496857,24.842767295597486,-81.44654088050315,-10835497.586602967,-0.3080062293872553,7130152,-50.11938571510211,681.5,626.5,654.0,686.5
2018-12-18 11:00:00,552.0,565.0,552.0,557.0,183107,565.0,552.0,552.0,557.0,183107,-0.04991394148020654,0.010889292196007259,-0.12942989214175654,0.016574585635359115,38.410922970780284,21.73913043478261,25.90465773402607,-78.26086956521739,-10877753.04814143,-0.28126841379093037,7313259,-51.723931222130204,676.5,618.0,647.25,686.5
2018-12-18 12:00:00,559.0,565.0,531.0,541.0,471320,565.0,531.0,559.0,541.0,471320,0.012681159420289856,-0.02872531418312388,0.0,-0.03804347826086957,37.16714722833375,17.073170731707318,19.121920095328928,-82.92682926829268,-11071825.9893179,-0.29405254552106624,6841939,-53.66796053707094,676.5,618.0,647.25,686.5
2018-12-19 09:00:00,580.0,629.0,443.0,450.0,2713356,629.0,443.0,580.0,450.0,2713356,0.03756708407871199,-0.16820702402957485,0.11327433628318584,-0.1657250470809793,31.015726982188326,2.08955223880597,13.633951135098632,-97.91044776119404,-13580950.892543707,-0.38621217934508945,4128583,-61.83871899707219,652.0,587.0,619.5,662.0
2018-12-19 10:00:00,450.0,450.0,441.0,441.0,276355,450.0,441.0,450.0,441.0,276355,-0.22413793103448276,-0.02,-0.2845786963434022,-0.004514672686230248,30.478454118755565,0.0,6.387574323504428,-100.0,-13857305.892543707,-0.3632553062067932,3852228,-68.25354435465636,651.0,561.0,606.0,661.0
2018-12-19 11:00:00,441.0,481.0,417.0,481.0,768737,481.0,417.0,441.0,481.0,768737,-0.02,0.09070294784580499,0.06888888888888889,-0.05442176870748299,35.8012711176962,18.6046511627907,6.898067800532224,-81.3953488372093,-13088568.892543707,-0.30538311786963296,4620965,-69.31070331738294,629.5,544.0,586.75,649.0
2018-12-19 12:00:00,481.0,481.0,422.0,431.0,252219,481.0,422.0,481.0,431.0,252219,0.09070294784580499,-0.10395010395010396,0.0,0.011990407673860911,32.45613627280535,4.281345565749236,7.628665576179979,-95.71865443425077,-13263839.723052181,-0.28505484765367517,4368746,-73.33770018769712,626.5,544.0,585.25,649.0
2018-12-22 09:00:00,401.0,401.0,333.0,333.0,1637459,401.0,333.0,401.0,333.0,1637459,-0.16632016632016633,-0.2273781902552204,-0.16632016632016633,-0.2109004739336493,27.10953285738705,0.0,7.628665576179979,-100.0,-14901298.723052181,-0.42983616010966513,2731287,-83.47466126628854,584.5,502.0,543.25,607.0
2018-12-22 10:00:00,333.0,333.0,333.0,333.0,216767,333.0,333.0,333.0,333.0,216767,-0.16957605985037408,0.0,-0.16957605985037408,0.0,27.10953285738705,0.0,1.4271151885830786,-100.0,-14901298.723052181,-0.39634705761822886,2948054,-90.46544659833268,584.5,491.0,537.75,607.0
2018-12-22 11:00:00,333.0,333.0,333.0,333.0,1353608,333.0,333.0,333.0,333.0,1353608,0.0,0.0,0.0,0.0,27.10953285738705,0.0,0.0,-100.0,-14901298.723052181,-0.3559053434693675,4301662,-94.91161235308715,581.5,481.0,531.25,607.0
2018-12-22 12:00:00,333.0,333.0,333.0,333.0,29223,333.0,333.0,333.0,333.0,29223,0.0,0.0,0.0,0.0,27.10953285738705,0.0,0.0,-100.0,-14901298.723052181,-0.3506832502307243,4330885,-97.31346173526703,571.5,481.0,526.25,607.0
2018-12-23 09:00:00,183.0,381.0,183.0,341.0,1676179,381.0,183.0,183.0,341.0,1676179,-0.45045045045045046,0.024024024024024024,0.14414414414414414,-0.45045045045045046,28.404531559253584,32.377049180327866,10.792349726775955,-67.62295081967213,-13902363.763456222,-0.20538410623140774,6007064,-97.44809060466423,496.5,406.0,451.25,532.0
2018-12-23 10:00:00,351.0,351.0,273.0,283.0,1873415,351.0,273.0,351.0,283.0,1873415,0.9180327868852459,-0.17008797653958943,-0.07874015748031496,0.4918032786885246,24.94438782612407,20.491803278688526,17.62295081967213,-79.50819672131148,-15295415.942943402,-0.23561514150745372,4133649,-101.06983013932393,496.5,332.0,414.25,532.0
