time,Price_first,Price_max,Price_min,Price_last,Volume_sum,high,low,open,close,volume,open%,close%,high%,low%,RSI,%K,%D,Williams_%R,ADL,cmf,obv,macd,ichimoku_base_line,ichimoku_conversion_line,ichimoku_a,ichimoku_b
2019-01-21,296.0,333.0,261.0,261.0,13877191,333.0,261.0,296.0,261.0,13877191,-0.17777777777777778,-0.132890365448505,-0.12598425196850394,-0.13,50.037704750499145,37.65690376569037,56.45474027962036,-62.34309623430963,48123094.15061554,0.18650324791529158,52043833,20.26349068726188,255.0,290.5,272.75,255.0
2019-01-22,260.0,292.0,246.0,266.0,8880183,292.0,246.0,260.0,266.0,8880183,-0.12162162162162163,0.019157088122605363,-0.12312312312312312,-0.05747126436781609,50.75592706044284,39.7489539748954,44.36563821705162,-60.2510460251046,46964809.411485106,0.1833737944278481,60924016,17.5195083606626,255.0,290.5,272.75,255.0
2019-01-23,261.0,290.0,257.0,261.0,7586767,290.0,257.0,261.0,261.0,7586767,0.0038461538461538464,-0.018796992481203006,-0.00684931506849315,0.044715447154471545,49.982149515073445,37.65690376569037,38.35425383542538,-62.34309623430963,41217258.65390935,0.16559445858606436,53337249,14.771151741695462,255.0,328.0,291.5,255.0
2019-01-26,263.0,281.0,241.0,261.0,4921885,281.0,241.0,263.0,261.0,4921885,0.007662835249042145,0.0,-0.03103448275862069,-0.0622568093385214,49.982149515073445,37.65690376569037,38.35425383542538,-62.34309623430963,41217258.65390935,0.1810245848533322,58259134,12.449548672798755,255.0,325.5,290.25,255.0
2019-01-27,262.0,332.0,262.0,332.0,16839747,332.0,262.0,262.0,332.0,16839747,-0.0038022813688212928,0.2720306513409962,0.18149466192170818,0.08713692946058091,60.01979930026448,67.36401673640168,47.559274755927476,-32.63598326359833,58057005.65390935,0.21330264023562326,75098881,16.152571354742406,255.0,325.5,290.25,255.0
2019-01-30,316.0,320.0,271.0,306.0,5899053,320.0,271.0,316.0,306.0,5899053,0.20610687022900764,-0.0783132530120482,-0.03614457831325301,0.03435114503816794,55.61807674897629,56.48535564853557,53.83542538354254,-43.51464435146443,60585171.22533792,0.19790110941534816,69199828,16.795650990399167,255.0,325.5,290.25,255.0
2019-02-02,311.0,316.0,265.0,265.0,4514504,316.0,265.0,311.0,265.0,4514504,-0.015822784810126583,-0.13398692810457516,-0.0125,-0.02214022140221402,49.458331148662744,39.33054393305439,54.39330543933054,-60.66945606694561,56070667.22533792,0.19684790769205968,64685324,13.83742961103735,255.0,325.5,290.25,255.0
2019-02-03,281.0,305.0,223.0,259.0,10349300,305.0,223.0,281.0,259.0,10349300,-0.09646302250803858,-0.022641509433962263,-0.03481012658227848,-0.15849056603773584,48.609886541828956,19.25133689839572,38.35574549332856,-80.74866310160428,54808557.46924036,0.1619503564549234,54336024,10.883410813975729,255.0,302.0,278.5,255.0
2019-02-04,271.0,281.0,252.0,259.0,6904534,281.0,252.0,271.0,259.0,6904534,-0.03558718861209965,0.0,-0.07868852459016394,0.13004484304932734,48.609886541828956,19.25133689839572,25.944405909948614,-80.74866310160428,51237246.77958519,0.1474217860445311,61240558,8.444981148882164,255.0,278.0,266.5,255.0
2019-02-05,271.0,281.0,261.0,276.0,4812163,281.0,261.0,271.0,276.0,4812163,0.0,0.06563706563706563,0.0,0.03571428571428571,51.352183161657756,28.342245989304814,22.281639928698752,-71.65775401069519,53643328.27958519,0.17538574189688877,66052721,7.7944168112859415,276.0,277.5,276.75,255.0
2019-02-06,281.0,288.0,257.0,273.0,6116666,288.0,257.0,281.0,273.0,6116666,0.03690036900369004,-0.010869565217391304,0.02491103202846975,-0.01532567049808429,50.83663567949892,26.737967914438503,24.777183600713013,-73.2620320855615,53840640.0860368,0.17098110797748348,59936055,6.956573905063465,287.0,277.5,282.25,255.0
2019-02-10,266.0,303.0,266.0,296.0,3460026,303.0,266.0,266.0,296.0,3460026,-0.05338078291814947,0.08424908424908426,0.052083333333333336,0.03501945525291829,54.59984486415135,39.037433155080215,31.372549019607845,-60.962566844919785,55991467.059009776,0.2118876690885146,63396081,8.055624916939678,287.0,277.5,282.25,255.0
2019-02-12,281.0,303.0,269.0,276.0,9299885,303.0,269.0,281.0,276.0,9299885,0.05639097744360902,-0.06756756756756757,0.0,0.011278195488721804,50.9478554000886,33.54430379746835,33.106568288995696,-66.45569620253164,50520946.47077448,0.1919349225109322,54096196,7.229461180752196,290.5,277.5,284.0,255.0
2019-02-13,271.0,279.0,241.0,241.0,5518734,279.0,241.0,271.0,241.0,5518734,-0.03558718861209965,-0.12681159420289856,-0.07920792079207921,-0.10408921933085502,45.244544348664,16.363636363636363,29.648457772061647,-83.63636363636364,45002212.47077448,0.10080742352914768,48577462,3.70777208623781,290.5,271.5,281.0,255.0
2019-02-16,270.0,273.0,241.0,262.0,5942166,273.0,241.0,270.0,262.0,5942166,-0.0036900369003690036,0.08713692946058091,-0.021505376344086023,0.0,48.93801599617753,35.77981651376147,28.562585558288728,-64.22018348623853,46859139.34577448,0.050115844182319916,54519628,2.581573826020076,290.5,269.5,280.0,255.0
2019-02-18,224.0,305.0,224.0,294.0,14798080,305.0,224.0,224.0,294.0,14798080,-0.17037037037037037,0.12213740458015267,0.11721611721611722,-0.07053941908713693,54.02694195739421,65.13761467889908,39.093689185432304,-34.862385321100916,57637987.74083621,0.14857910594571372,69317708,4.222511669712503,290.5,264.0,277.25,255.0
2019-02-19,300.0,331.0,271.0,274.0,5173571,331.0,271.0,300.0,274.0,5173571,0.3392857142857143,-0.06802721088435375,0.08524590163934426,0.20982142857142858,50.63063802422147,46.788990825688074,49.23547400611621,-53.211009174311926,52981773.84083621,0.055913802458734355,64144137,3.864585345885075,290.5,277.5,284.0,255.0
2019-02-20,310.0,310.0,264.0,272.0,5527205,310.0,264.0,310.0,272.0,5527205,0.03333333333333333,-0.0072992700729927005,-0.0634441087613293,-0.025830258302583026,50.29017964119688,44.95412844036697,52.293577981651374,-55.04587155963303,49377074.927792735,-0.18800271348756495,58616932,3.3805737207110838,290.5,277.5,284.0,255.0
