time,Price_first,Price_max,Price_min,Price_last,Volume_sum,high,low,open,close,volume,open%,close%,high%,low%,RSI,%K,%D,Williams_%R,ADL,cmf,obv,macd,ichimoku_base_line,ichimoku_conversion_line,ichimoku_a,ichimoku_b
2019-01-13,2186.0,2896.0,2186.0,2776.0,1205982,2896.0,2186.0,2186.0,2776.0,1205982,-0.21225225225225225,0.21968365553602812,-0.1668584579976985,-0.03954305799648506,58.74411149375013,78.71046228710462,76.29508129041231,-21.289537712895378,-799644.7665114459,0.08431427402529225,3953053,9.970314389122223,2378.0,1962.5,2170.25,2378.0
2019-01-14,2687.0,3582.0,2296.0,3582.0,2294402,3582.0,2296.0,2687.0,3582.0,2294402,0.2291857273559012,0.2903458213256484,0.23687845303867403,0.05032021957913998,64.63961716919363,100.0,80.73803730738037,-0.0,1494757.2334885541,0.18828387986445974,6247455,141.1684736425177,1887.5,2015.5,1951.5,2378.0
2019-01-15,3776.0,4300.0,3678.0,3876.0,1972801,4300.0,3678.0,3776.0,3876.0,1972801,0.4052847041310011,0.08207705192629816,0.2004466778336125,0.6019163763066202,66.51906250703092,88.989872760322,89.23344501580887,-11.010127239678006,777951.725449969,0.16545784096234523,8220256,265.80328817275586,2200.0,2538.0,2369.0,2378.0
2019-01-16,4076.0,4226.0,3686.0,3776.0,1042734,4226.0,3686.0,4076.0,3776.0,1042734,0.07944915254237288,-0.025799793601651185,-0.017209302325581394,0.002175095160413268,65.24871638493457,86.39314463775642,91.79433913269281,-13.606855362243573,82795.72544996894,0.17248257669479877,7177522,352.445341856871,2200.0,2538.0,2369.0,2378.0
2019-01-19,3986.0,4873.0,3986.0,4682.0,1700298,4873.0,3986.0,3986.0,4682.0,1700298,-0.022080471050049066,0.2399364406779661,0.15309985802177,0.08138903960933261,70.7069637781342,95.68264014466546,90.35521918091462,-4.317359855334539,1050834.6093282104,0.2306274388071618,8877820,488.5843258902164,2486.5,2824.5,2655.5,2486.5
2019-01-20,4873.0,5656.0,3876.0,4075.0,1380873,5656.0,3876.0,4873.0,4075.0,1380873,0.22252885097842448,-0.12964545066211022,0.16068130515083112,-0.027596588058203714,63.50969726925588,69.6370270789322,83.90427062045136,-30.362972921067794,-21281.394042576198,0.15312610381483147,7496947,541.256358099929,2878.0,3716.0,3297.0,2878.0
2019-01-21,4177.0,4375.0,3792.0,3792.0,1938208,4375.0,3792.0,4177.0,3792.0,1938208,-0.14282782680073877,-0.0694478527607362,-0.2264851485148515,-0.021671826625386997,60.421673912964735,64.20203572114461,76.5072343149141,-35.79796427885539,-1959489.3940425762,0.09193851296235812,5558739,553.7799576021266,2878.0,3921.0,3399.5,2878.0
2019-01-22,3776.0,4031.0,3160.0,3476.0,649034,4031.0,3160.0,3776.0,3476.0,649034,-0.09600191525017955,-0.08333333333333333,-0.07862857142857142,-0.16666666666666666,57.0840264473627,55.32786885245902,63.05564388417861,-44.67213114754098,-2137582.535259568,0.1224981784325598,4909705,532.0730346183541,2878.0,3921.0,3399.5,2878.0
2019-01-23,3477.0,3906.0,2790.0,2976.0,653523,3906.0,2790.0,3477.0,2976.0,653523,-0.0791843220338983,-0.14384349827387802,-0.031009675018605805,-0.11708860759493671,52.17311521325648,45.08196721311475,54.87062392890613,-54.91803278688525,-2573264.535259568,0.06713906414920912,4256182,469.1166358747332,2878.0,3921.0,3399.5,2878.0
2019-01-26,3276.0,3276.0,2276.0,2276.0,842830,3276.0,2276.0,3276.0,2276.0,842830,-0.057808455565142365,-0.23521505376344087,-0.16129032258064516,-0.18422939068100358,46.18291246247357,30.737704918032787,43.71584699453552,-69.26229508196721,-3416094.535259568,-0.00736948413501433,3413352,358.6053076753183,2878.0,3966.0,3422.0,2878.0
