time,Price_first,Price_max,Price_min,Price_last,Volume_sum,high,low,open,close,volume,open%,close%,high%,low%,RSI,%K,%D,Williams_%R,ADL,cmf,obv,macd,ichimoku_base_line,ichimoku_conversion_line,ichimoku_a,ichimoku_b
2019-01-13,469.0,820.0,400.0,772.0,3269619,820.0,400.0,469.0,772.0,3269619,-0.23114754098360657,0.6425531914893617,0.3442622950819672,-0.1111111111111111,55.27029138699836,73.72881355932203,45.76271186440678,-26.271186440677965,2181567.6942003933,0.09797272860507503,-1588187,-76.92786563925517,665.0,535.0,600.0,665.0
2019-01-14,750.0,830.0,530.0,550.0,1559694,830.0,530.0,750.0,550.0,1559694,0.5991471215351812,-0.28756476683937826,0.012195121951219513,0.325,46.81996918208334,42.3728813559322,49.058380414312616,-57.6271186440678,829832.8942003932,0.01819699007213593,-3147881,-72.01217067896334,620.0,540.0,580.0,665.0
2019-01-15,550.0,684.0,430.0,630.0,957160,684.0,430.0,550.0,630.0,957160,-0.26666666666666666,0.14545454545454545,-0.17590361445783131,-0.18867924528301888,49.79861528315417,53.67231638418079,56.591337099811675,-46.32768361581921,1380011.4768775585,0.06867833417475401,-2190721,-60.95842481914531,572.5,540.0,556.25,665.0
2019-01-16,650.0,680.0,562.0,680.0,484153,680.0,562.0,650.0,680.0,484153,0.18181818181818182,0.07936507936507936,-0.005847953216374269,0.30697674418604654,51.62242335136927,66.56346749226006,54.20288841079101,-33.43653250773994,1864164.4768775585,0.15749374485540252,-1706568,-47.614795728756235,572.5,540.0,556.25,665.0
2019-01-19,680.0,740.0,505.0,550.0,768820,740.0,505.0,680.0,550.0,768820,0.046153846153846156,-0.19117647058823528,0.08823529411764706,-0.10142348754448399,46.85605912379126,51.10732538330494,57.11436975324859,-48.89267461669506,1389786.1790052182,0.10622893260773278,-2475388,-46.9881370883802,572.5,540.0,556.25,665.0
2019-01-20,592.0,650.0,360.0,549.0,1605980,650.0,360.0,592.0,549.0,1605980,-0.12941176470588237,-0.0018181818181818182,-0.12162162162162163,-0.2871287128712871,46.82024751145181,51.55172413793103,56.407505671165346,-48.44827586206897,1877118.0410741838,0.08041315718432478,-4081368,-46.04145995317526,559.5,595.0,577.25,665.0
2019-01-21,550.0,599.0,330.0,360.0,1901289,599.0,330.0,550.0,360.0,1901289,-0.07094594594594594,-0.3442622950819672,-0.07846153846153846,-0.08333333333333333,40.51728229532633,18.96551724137931,40.54152225420509,-81.03448275862068,399908.37192920246,0.006358152604210703,-5982657,-59.85199541757959,529.0,580.0,554.5,665.0
2019-01-22,375.0,490.0,370.0,490.0,616167,490.0,370.0,375.0,490.0,616167,-0.3181818181818182,0.3611111111111111,-0.18196994991652754,0.12121212121212122,45.91097940386352,41.37931034482759,37.29885057471264,-58.62068965517241,1016075.3719292025,0.0358028368907708,-5366490,-59.61977111855083,529.0,580.0,554.5,665.0
2019-01-23,583.0,583.0,350.0,540.0,947327,583.0,350.0,583.0,540.0,947327,0.5546666666666666,0.10204081632653061,0.18979591836734694,-0.05405405405405406,47.86893867572597,50.0,36.7816091954023,-50.0,1613745.1959635373,0.02698420898982777,-4419163,-54.7697974242285,529.0,580.0,554.5,665.0
2019-01-26,416.0,768.0,372.0,768.0,2622130,768.0,372.0,416.0,768.0,2622130,-0.2864493996569468,0.4222222222222222,0.31732418524871353,0.06285714285714286,55.73726414498529,89.3103448275862,60.22988505747126,-10.689655172413794,4235875.195963537,0.07759742131307808,-1797033,-32.15776906059443,529.0,580.0,554.5,665.0
2019-01-27,845.0,880.0,601.0,649.0,509235,880.0,601.0,845.0,649.0,509235,1.03125,-0.15494791666666666,0.14583333333333334,0.6155913978494624,51.37849446636055,58.0,65.77011494252874,-42.0,3901860.8411248275,0.07887606011029004,-2306268,-23.56819961261226,604.0,605.0,604.5,665.0
2019-01-28,790.0,790.0,553.0,590.0,315216,790.0,553.0,790.0,590.0,315216,-0.0650887573964497,-0.09090909090909091,-0.10227272727272728,-0.07986688851913477,49.31917461087238,47.27272727272727,64.86102403343783,-52.72727272727273,3685066.714542549,0.07830008559499765,-2621484,-21.27644919481861,604.0,605.0,604.5,665.0
2019-01-29,690.0,690.0,520.0,566.0,174490,690.0,520.0,690.0,566.0,174490,-0.12658227848101267,-0.04067796610169491,-0.12658227848101267,-0.059674502712477394,48.46814871002758,42.90909090909091,49.393939393939384,-57.09090909090909,3605006.5968954903,0.0805900157018004,-2795974,-21.15298149774594,604.0,605.0,604.5,665.0
2019-01-30,562.0,689.0,558.0,638.0,565277,689.0,558.0,562.0,638.0,565277,-0.1855072463768116,0.127208480565371,-0.0014492753623188406,0.07307692307692308,51.189271892791844,56.0,48.72727272727272,-44.0,3730144.2533840397,0.10599775003373552,-2230697,-15.071598185250195,604.0,605.0,604.5,665.0
2019-02-02,638.0,638.0,527.0,528.0,364442,638.0,527.0,638.0,528.0,364442,0.13523131672597866,-0.1724137931034483,-0.07402031930333818,-0.05555555555555555,47.09746732268394,36.0,44.96969696969696,-64.0,3372268.7759065623,0.12285210545247408,-2595139,-18.910154300129648,604.0,605.0,604.5,665.0
2019-02-03,540.0,550.0,433.0,499.0,445207,550.0,433.0,540.0,499.0,445207,-0.1536050156739812,-0.054924242424242424,-0.13793103448275862,-0.17836812144212524,46.05232016876196,30.727272727272727,40.9090909090909,-69.27272727272727,3429346.596419383,0.13877988593345542,-3040346,-24.015460039136315,573.0,615.0,594.0,665.0
2019-02-04,469.0,600.0,469.0,580.0,312603,600.0,469.0,469.0,580.0,312603,-0.13148148148148148,0.1623246492985972,0.09090909090909091,0.08314087759815242,49.428003449857194,45.45454545454545,37.393939393939384,-54.54545454545455,3646498.298709459,0.11637455885216087,-2727743,-21.280124535063123,565.0,615.0,590.0,665.0
2019-02-05,501.0,565.0,500.0,536.0,167155,565.0,500.0,501.0,536.0,167155,0.06823027718550106,-0.07586206896551724,-0.058333333333333334,0.06609808102345416,47.68257921676762,37.45454545454545,37.87878787878787,-62.54545454545455,3664499.6064017667,0.1518385911890422,-2894898,-22.404518376201622,565.0,626.0,595.5,665.0
2019-02-06,501.0,580.0,451.0,521.0,696330,580.0,451.0,501.0,521.0,696330,0.0,-0.027985074626865673,0.02654867256637168,-0.098,47.07231659436153,34.72727272727273,39.2121212121212,-65.27272727272727,3723876.583145953,0.1986300256408131,-3591228,-24.226712771666826,565.0,656.5,610.75,665.0
2019-02-10,460.0,573.0,451.0,533.0,1225292,573.0,451.0,460.0,533.0,1225292,-0.08183632734530938,0.023032629558541268,-0.01206896551724138,0.0,47.649550874107824,36.90909090909091,36.36363636363635,-63.09090909090909,4145698.4192115264,0.22998274821378964,-2365936,-24.421005101200308,565.0,611.5,588.25,665.0
2019-02-12,452.0,533.0,452.0,480.0,1471601,533.0,452.0,452.0,480.0,1471601,-0.017391304347826087,-0.09943714821763602,-0.06980802792321117,0.0022172949002217295,45.29968169112402,24.528301886792452,32.05488850771869,-75.47169811320755,3691500.579705354,0.08526085365294966,-3837537,-28.52284661178976,565.0,561.5,563.25,665.0
2019-02-13,452.0,470.0,442.0,469.0,515670,470.0,442.0,452.0,469.0,515670,0.0,-0.022916666666666665,-0.11819887429643527,-0.022123893805309734,44.80580260656104,22.452830188679247,27.963407661520858,-77.54716981132076,4170337.0082767825,0.2004437487354982,-4353207,-32.28898629545051,565.0,561.0,563.0,665.0
2019-02-16,490.0,570.0,451.0,460.0,250805,570.0,451.0,490.0,460.0,250805,0.084070796460177,-0.019189765458422176,0.2127659574468085,0.020361990950226245,44.37947626781337,17.322834645669293,21.434655573713655,-82.67716535433071,3957468.899033085,0.16150303265131621,-4604012,-35.58964859694606,605.0,535.5,570.25,665.0
2019-02-17,547.0,547.0,375.0,410.0,432997,547.0,375.0,547.0,410.0,432997,0.11632653061224489,-0.10869565217391304,-0.04035087719298246,-0.16851441241685144,41.98915010090941,6.930693069306931,15.568785967885148,-93.06930693069307,3700691.6083354107,0.11544652512713872,-5037009,-41.75866152721227,605.0,487.5,546.25,665.0
2019-02-18,400.0,490.0,400.0,418.0,391781,490.0,400.0,400.0,418.0,391781,-0.2687385740402194,0.01951219512195122,-0.10420475319926874,0.06666666666666667,42.522579476887195,10.36144578313253,11.538324499369574,-89.63855421686748,3465623.0083354106,0.13365769308327544,-4645228,-45.47787494520202,605.0,487.5,546.25,665.0
2019-02-19,517.0,517.0,450.0,455.0,295983,517.0,450.0,517.0,455.0,295983,0.2925,0.08851674641148326,0.05510204081632653,0.125,45.03975101432426,25.396825396825395,14.229654749754943,-74.60317460317461,3213816.5754995896,0.09399471319946176,-4349245,-44.921955259066294,605.0,477.5,541.25,665.0
2019-02-20,383.0,550.0,382.0,493.0,1598035,550.0,382.0,383.0,493.0,1598035,-0.25918762088974856,0.08351648351648351,0.06382978723404255,-0.1511111111111111,47.57890024856668,37.5796178343949,24.445963004784264,-62.4203821656051,3727470.682642447,0.23908778245964482,-2751210,-40.94313550201906,605.0,477.5,541.25,665.0
2019-02-23,493.0,789.0,493.0,616.0,597207,789.0,493.0,493.0,616.0,597207,0.28720626631853785,0.24949290060851928,0.43454545454545457,0.2905759162303665,54.85004881409409,58.21256038647343,40.39633453923123,-41.78743961352657,3626591.121831636,0.18782333315819333,-2154003,-27.547272324822302,605.0,582.0,593.5,620.0
