time,Price_first,Price_max,Price_min,Price_last,Volume_sum,high,low,open,close,volume,open%,close%,high%,low%,RSI,%K,%D,Williams_%R,ADL,cmf,obv,macd,ichimoku_base_line,ichimoku_conversion_line,ichimoku_a,ichimoku_b
2019-01-14,339.0,398.0,337.0,349.0,22845442,398.0,337.0,339.0,349.0,22845442,-0.08870967741935484,0.029498525073746312,-0.01240694789081886,0.008982035928143712,53.02167852706492,38.96103896103896,42.88686992549653,-61.03896103896104,-173257883.10542727,-0.21756230900770274,108138500,14.393854008391145,340.0,379.5,359.75,340.0
2019-01-15,373.0,397.0,359.0,382.0,12314618,397.0,359.0,373.0,382.0,12314618,0.10029498525073746,0.09455587392550144,-0.002512562814070352,0.06528189910979229,57.70644275103367,51.13122171945702,41.761797909235426,-48.86877828054298,-170665331.94753253,-0.16409210426251575,120453118,16.216449425734424,340.0,392.5,366.25,340.0
2019-01-16,368.0,374.0,345.0,359.0,8672226,374.0,345.0,368.0,359.0,8672226,-0.013404825737265416,-0.060209424083769635,-0.05793450881612091,-0.03899721448467967,53.68792886888864,40.723981900452486,43.60541419364949,-59.276018099547514,-170964374.2233946,-0.13215192328121506,111780892,15.624848121080504,340.0,392.5,366.25,340.0
2019-01-19,377.0,421.0,359.0,378.0,13214974,421.0,359.0,377.0,378.0,13214974,0.024456521739130436,0.052924791086350974,0.12566844919786097,0.04057971014492753,56.38965392680249,49.321266968325794,47.05882352941177,-50.678733031674206,-176079848.02984622,-0.14183289512323144,124995866,16.49895139383227,340.0,394.5,367.25,340.0
2019-01-20,419.0,419.0,317.0,319.0,16567696,419.0,317.0,419.0,319.0,16567696,0.11140583554376658,-0.15608465608465608,-0.004750593824228029,-0.116991643454039,47.18452937927551,22.624434389140273,37.55656108597285,-77.37556561085972,-191997830.46121877,-0.18838705220525662,108428170,12.28921519563113,340.0,403.5,371.75,340.0
2019-01-21,359.0,364.0,274.0,307.0,14223954,364.0,274.0,359.0,307.0,14223954,-0.1431980906921241,-0.03761755485893417,-0.13126491646778043,-0.13564668769716087,45.555659126190626,17.194570135746606,29.713423831070894,-82.8054298642534,-195790884.86121878,-0.20919850495322717,94204216,7.893675835836632,340.0,382.0,361.0,340.0
2019-01-22,328.0,328.0,283.0,292.0,8917308,328.0,283.0,328.0,292.0,8917308,-0.08635097493036212,-0.048859934853420196,-0.0989010989010989,0.032846715328467155,43.53265523479894,8.333333333333334,16.050779286073404,-91.66666666666667,-201141269.6612188,-0.20744436179744916,85286908,3.163339575760233,344.5,371.5,358.0,340.0
2019-01-23,299.0,338.0,291.0,301.0,8395304,338.0,291.0,299.0,301.0,8395304,-0.08841463414634146,0.030821917808219176,0.03048780487804878,0.028268551236749116,45.10773117945299,12.5,12.675967823026646,-87.5,-205964103.87398475,-0.20924323524254543,93682212,0.1391349323868667,344.5,347.5,346.0,340.0
2019-01-26,319.0,333.0,289.0,289.0,10269613,333.0,289.0,319.0,289.0,10269613,0.06688963210702341,-0.03986710963455149,-0.014792899408284023,-0.006872852233676976,43.37063704649858,6.944444444444445,9.25925925925926,-93.05555555555556,-216233716.87398475,-0.27277284443129884,83412599,-3.189106710511169,344.5,347.5,346.0,340.0
2019-01-27,289.0,289.0,227.0,229.0,15868116,289.0,227.0,289.0,229.0,15868116,-0.09404388714733543,-0.20761245674740483,-0.13213213213213212,-0.21453287197231835,35.9218472409393,0.7604562737642585,6.734966906069567,-99.23954372623574,-231078083.45462993,-0.3725850487277488,67544483,-10.546685129186187,344.5,324.0,334.25,340.0
2019-01-28,239.0,257.0,200.0,209.0,20889152,257.0,200.0,239.0,209.0,20889152,-0.17301038062283736,-0.08733624454148471,-0.11072664359861592,-0.11894273127753303,33.83577440759889,3.103448275862069,3.602782998023591,-96.89655172413794,-245370661.13884047,-0.3762742387237498,46655331,-17.786421096761387,345.0,310.5,327.75,340.0
2019-01-29,219.0,247.0,201.0,201.0,12623967,247.0,201.0,219.0,201.0,12623967,-0.08368200836820083,-0.03827751196172249,-0.038910505836575876,0.005,33.01000076869505,0.37174721189591076,1.4118839205074127,-99.62825278810409,-257994628.13884047,-0.413330400652892,34031364,-23.894061286778822,345.0,310.5,327.75,340.0
2019-01-30,214.0,241.0,161.0,178.0,38363603,241.0,161.0,214.0,178.0,38363603,-0.0228310502283105,-0.11442786069651742,-0.024291497975708502,-0.19900497512437812,30.690912755549505,6.538461538461538,3.337885675406506,-93.46153846153847,-280053699.86384046,-0.44256008333632746,-4332239,-30.24171030987759,325.5,290.0,307.75,325.5
2019-02-02,178.0,213.0,149.0,151.0,9818914,213.0,149.0,178.0,151.0,9818914,-0.16822429906542055,-0.15168539325842698,-0.11618257261410789,-0.07453416149068323,28.187413139499327,0.7352941176470589,2.548500956001502,-99.26470588235294,-289258931.73884046,-0.45904607852323437,-14151153,-37.02415087999913,319.5,256.5,288.0,319.5
2019-02-03,150.0,183.0,100.0,147.0,18315486,183.0,100.0,150.0,147.0,18315486,-0.15730337078651685,-0.026490066225165563,-0.14084507042253522,-0.3288590604026846,27.825288306516953,14.641744548286605,7.305166734798401,-85.35825545171339,-286831578.1725754,-0.41802693215281267,-32466639,-42.235189493285304,295.0,219.0,257.0,295.0
2019-02-04,132.0,164.0,124.0,132.0,9390344,164.0,124.0,132.0,132.0,9390344,-0.12,-0.10204081632653061,-0.10382513661202186,0.24,26.452853977391257,9.968847352024921,8.44862867265286,-90.03115264797508,-292465784.5725754,-0.4837999787112445,-41856983,-47.033180549355194,295.0,219.0,257.0,295.0
2019-02-05,131.0,157.0,114.0,149.0,13100259,157.0,114.0,131.0,149.0,13100259,-0.007575757575757576,0.12878787878787878,-0.042682926829268296,-0.08064516129032258,30.62896847963944,15.264797507788161,13.291796469366561,-84.73520249221184,-284240040.54931957,-0.5538797559148475,-28756724,-48.9001743334629,295.0,216.5,255.75,295.0
2019-02-06,177.0,177.0,129.0,145.0,10818323,177.0,129.0,177.0,145.0,10818323,0.3511450381679389,-0.026845637583892617,0.12738853503184713,0.13157894736842105,30.194527716943696,14.106583072100314,13.113409310637799,-85.8934169278997,-287846148.21598625,-0.5157837176363113,-39575047,-50.124740126328334,295.0,194.5,244.75,295.0
2019-02-10,157.0,159.0,124.0,148.0,8040236,159.0,124.0,157.0,148.0,8040236,-0.11299435028248588,0.020689655172413793,-0.1016949152542373,-0.03875968992248062,30.985181752431203,18.181818181818183,15.851066253902218,-81.81818181818181,-284859774.8445577,-0.4808282412883767,-31534811,-50.27361942129323,295.0,178.5,236.75,295.0
2019-02-12,139.0,178.0,109.0,119.0,7661538,178.0,109.0,139.0,119.0,7661538,-0.11464968152866242,-0.19594594594594594,0.11949685534591195,-0.12096774193548387,27.717010301120425,7.983193277310924,13.42386484374314,-92.01680672268908,-290300577.19238377,-0.4669803588672561,-39196349,-52.13073431710569,295.0,173.5,234.25,295.0
2019-02-13,119.0,158.0,113.0,127.0,9060656,158.0,113.0,119.0,127.0,9060656,-0.14388489208633093,0.06722689075630252,-0.11235955056179775,0.03669724770642202,29.913169785421687,11.344537815126051,12.503183091418386,-88.65546218487395,-293723491.6812726,-0.45198396725440193,-30135693,-52.35347978457011,295.0,170.5,232.75,295.0
2019-02-16,139.0,195.0,130.0,144.0,15690299,195.0,130.0,139.0,144.0,15690299,0.16806722689075632,0.13385826771653545,0.23417721518987342,0.1504424778761062,34.469496821700815,18.88412017167382,12.737283754703597,-81.11587982832619,-302654892.6505034,-0.48902778175730394,-14445394,-50.5752492558363,295.0,156.5,225.75,295.0
2019-02-17,131.0,177.0,123.0,161.0,7568808,177.0,123.0,131.0,161.0,7568808,-0.05755395683453238,0.11805555555555555,-0.09230769230769231,-0.05384615384615385,38.75713982583432,32.27513227513227,20.834596753977383,-67.72486772486772,-299571304.206059,-0.4784509811628981,-6876586,-47.249567226135014,295.0,147.5,221.25,295.0
2019-02-18,148.0,176.0,141.0,160.0,8060435,176.0,141.0,148.0,160.0,8060435,0.1297709923664122,-0.006211180124223602,-0.005649717514124294,0.14634146341463414,38.597159630216105,38.21656050955414,29.79193765212008,-61.78343949044586,-298880409.7774876,-0.465781723172317,-14937021,-44.185291365529906,284.5,152.0,218.25,295.0
2019-02-19,159.0,188.0,142.0,164.0,9911623,188.0,142.0,159.0,164.0,9911623,0.07432432432432433,0.025,0.06818181818181818,0.0070921985815602835,39.66989660018768,43.53741496598639,38.009702583557605,-56.46258503401361,-299311349.9079224,-0.4175819312060612,-5025398,-40.961881031830444,260.5,152.0,206.25,295.0
2019-02-20,172.0,262.0,159.0,262.0,31499324,262.0,159.0,172.0,262.0,31499324,0.08176100628930817,0.5975609756097561,0.39361702127659576,0.11971830985915492,58.70493354211439,100.0,60.584658491846845,-0.0,-267812025.9079224,-0.26259852829713376,26473926,-30.151951214466692,260.5,185.5,223.0,295.0
2019-02-23,285.0,338.0,285.0,324.0,76805085,338.0,285.0,285.0,324.0,76805085,0.6569767441860465,0.2366412213740458,0.2900763358778626,0.7924528301886793,66.01134229753525,94.11764705882354,79.21835400826997,-5.882352941176471,-231583212.2286771,-0.08897222280460758,103279011,-16.393152055968386,260.5,223.5,242.0,295.0
2019-02-24,320.0,349.0,290.0,340.0,25699024,349.0,290.0,320.0,340.0,25699024,0.12280701754385964,0.04938271604938271,0.03254437869822485,0.017543859649122806,67.6043066303537,96.3855421686747,96.83439640916608,-3.6144578313253013,-213724568.43206692,-0.02158954185654049,128978035,-4.150296281578335,260.5,229.0,244.75,295.0
2019-02-25,309.0,338.0,260.0,268.0,19539881,338.0,260.0,309.0,268.0,19539881,-0.034375,-0.21176470588235294,-0.03151862464183381,-0.10344827586206896,55.09152114094749,66.25,85.58439640916608,-33.75,-229256268.7141182,-0.035317782254892606,109438154,-0.2546081816251444,260.5,231.0,245.75,295.0
2019-02-26,260.0,297.0,226.0,235.0,17014896,297.0,226.0,260.0,235.0,17014896,-0.15857605177993528,-0.12313432835820895,-0.12130177514792899,-0.13076923076923078,50.47979659311438,52.5,71.71184738955823,-47.5,-241957529.10848442,-0.029414094545481453,92423258,0.16799198992367792,259.5,236.0,247.75,295.0
2019-02-27,239.0,276.0,239.0,245.0,11453774,276.0,239.0,239.0,245.0,11453774,-0.08076923076923077,0.0425531914893617,-0.0707070707070707,0.05752212389380531,51.79661791436076,56.666666666666664,58.47222222222222,-43.333333333333336,-249696565.5949709,-0.01200184985753836,103877032,1.2948953495140358,232.0,236.0,234.0,295.0
2019-03-02,243.0,269.0,219.0,239.0,7346662,269.0,219.0,243.0,239.0,7346662,0.016736401673640166,-0.024489795918367346,-0.025362318840579712,-0.08368200836820083,50.9216684125518,54.166666666666664,54.444444444444436,-45.833333333333336,-251165897.99497092,0.01922723871629056,96530370,1.6844077212784327,224.5,245.0,234.75,295.0
2019-03-03,229.0,259.0,199.0,219.0,14405492,259.0,199.0,229.0,219.0,14405492,-0.05761316872427984,-0.08368200836820083,-0.03717472118959108,-0.091324200913242,48.010412073495885,45.833333333333336,52.22222222222222,-54.166666666666664,-255967728.66163757,0.07272311047230967,82124878,0.3749441068912063,224.5,245.5,235.0,295.0
2019-03-04,206.0,224.0,185.0,191.0,16247805,224.0,185.0,206.0,191.0,16247805,-0.10043668122270742,-0.1278538812785388,-0.13513513513513514,-0.07035175879396985,44.200477621309915,33.05084745762712,44.35028248587571,-66.94915254237289,-267216209.04625297,0.0652866331692066,65877073,-2.888880025257066,224.5,254.0,239.25,295.0
2019-03-05,191.0,209.0,175.0,199.0,13679439,209.0,175.0,191.0,199.0,13679439,-0.07281553398058252,0.041884816753926704,-0.06696428571428571,-0.05405405405405406,45.53047952139644,33.6283185840708,37.504166458343754,-66.3716814159292,-261583498.8697824,0.07582144620465646,79556512,-4.774908846452945,224.5,262.0,243.25,295.0
2019-03-06,198.0,206.0,181.0,199.0,8613071,206.0,181.0,198.0,199.0,8613071,0.03664921465968586,0.0,-0.014354066985645933,0.03428571428571429,45.53047952139644,33.6283185840708,33.43582820858958,-66.3716814159292,-257793747.62978238,0.10436574756294739,88169583,-6.19815183916819,224.5,262.0,243.25,295.0
2019-03-09,199.0,215.0,179.0,190.0,15516289,215.0,179.0,199.0,190.0,15516289,0.005050505050505051,-0.04522613065326633,0.043689320388349516,-0.011049723756906077,44.157242159783415,23.557692307692307,30.2714431586113,-76.4423076923077,-263827860.01867127,0.06099876960798864,72653294,-7.960542766917541,224.5,256.5,240.5,295.0
2019-03-10,188.0,197.0,174.0,193.0,23291257,197.0,174.0,188.0,193.0,23291257,-0.05527638190954774,0.015789473684210527,-0.08372093023255814,-0.027932960893854747,44.75537390625766,24.63768115942029,27.274564017061135,-75.3623188405797,-248637909.80127996,0.11295766790409711,95944551,-9.011298704420085,224.5,235.5,230.0,295.0
2019-03-11,190.0,288.0,185.0,288.0,154116450,288.0,185.0,190.0,288.0,154116450,0.010638297872340425,0.49222797927461137,0.4619289340101523,0.06321839080459771,59.535825771610796,67.89473684210526,38.696703436405954,-32.10526315789474,-94521459.80127996,0.3859394486085298,250061001,-2.153500094720755,224.5,231.0,227.75,295.0
2019-03-12,308.0,358.0,304.0,324.0,79288209,358.0,304.0,308.0,324.0,79288209,0.6210526315789474,0.125,0.24305555555555555,0.6432432432432432,63.51898910929102,81.52173913043478,58.01805237732011,-18.47826086956522,-115077662.13461329,0.3102342149112293,329349210,6.115755227348217,229.0,266.0,247.5,295.0
2019-03-13,334.0,433.0,292.0,427.0,125468611,433.0,292.0,334.0,427.0,125468611,0.08441558441558442,0.31790123456790126,0.20949720670391062,-0.039473684210526314,72.00880513085299,97.68339768339769,82.36662455197926,-2.3166023166023164,-287230.7941877544,0.43075334980407265,454817821,20.74134551982567,271.0,303.5,287.25,295.0
2019-03-16,399.0,506.0,390.0,459.0,61596484,506.0,390.0,399.0,459.0,61596484,0.19461077844311378,0.07494145199063232,0.16859122401847576,0.3356164383561644,74.03083185074601,85.8433734939759,88.34950343593613,-14.156626506024097,11394860.998915693,0.43190755650171736,516414305,34.51647927581422,307.5,340.0,323.75,303.0
2019-03-17,449.0,512.0,435.0,451.0,26276956,512.0,435.0,449.0,451.0,26276956,0.12531328320802004,-0.017429193899782137,0.011857707509881422,0.11538461538461539,72.61849787835452,81.95266272189349,88.49314463308902,-18.047337278106507,-3961801.598486904,0.3963493002529515,490137349,44.27743615841706,310.5,343.0,326.75,306.0
2019-03-18,451.0,539.0,439.0,509.0,43088564,539.0,439.0,451.0,509.0,43088564,0.004454342984409799,0.1286031042128603,0.052734375,0.009195402298850575,76.16828822580915,91.78082191780823,86.52561937789255,-8.219178082191782,13273624.001513097,0.3997572869797987,533225913,56.047103959220806,324.0,356.5,340.25,319.5
2019-03-19,510.0,550.0,504.0,524.0,21978038,550.0,504.0,510.0,524.0,21978038,0.13082039911308205,0.029469548133595286,0.02040816326530612,0.1480637813211845,76.99879646373874,93.08510638297872,88.9395303408935,-6.914893617021277,10406923.392817445,0.39060207689692467,555203951,65.82622142185369,329.5,362.0,345.75,325.0
2019-03-25,534.0,557.0,462.0,499.0,10471718,557.0,462.0,534.0,499.0,10471718,0.047058823529411764,-0.04770992366412214,0.012727272727272728,-0.08333333333333333,72.46609615240422,84.85639686684073,89.90744172254256,-15.143603133159269,8092122.571764814,0.357436155973138,544732233,70.74346477380988,335.0,365.5,350.25,328.5
2019-03-26,488.0,488.0,409.0,440.0,19743964,488.0,409.0,488.0,440.0,19743964,-0.08614232209737828,-0.11823647294589178,-0.12387791741472172,-0.11471861471861472,63.03520136802922,69.45169712793734,82.46440012591894,-30.548302872062663,3843421.457840763,0.32934329181803307,524988269,69.08325982421644,340.0,371.0,355.5,328.5
