time,Price_first,Price_max,Price_min,Price_last,Volume_sum,high,low,open,close,volume,open%,close%,high%,low%,RSI,%K,%D,Williams_%R,ADL,cmf,obv,macd,ichimoku_base_line,ichimoku_conversion_line,ichimoku_a,ichimoku_b
2018-12-17 10:00:00,324.0,356.0,259.0,259.0,10914211,356.0,259.0,324.0,259.0,10914211,0.0,-0.2006172839506173,0.09876543209876543,-0.2006172839506173,45.212453454750076,41.566265060240966,49.7595555225355,-58.433734939759034,-52036395.60574992,-0.4009815173810869,2218082,-23.384396363262056,289.5,273.0,281.25,289.5
2018-12-17 11:00:00,259.0,274.0,244.0,247.0,3720501,274.0,244.0,259.0,247.0,3720501,-0.2006172839506173,-0.04633204633204633,-0.2303370786516854,-0.05791505791505792,43.5436131701897,34.33734939759036,57.435497385224345,-65.66265060240964,-55012796.40574992,-0.3964143354344837,-1502419,-23.025681515218594,288.0,273.0,280.5,289.5
2018-12-17 12:00:00,247.0,249.0,221.0,228.0,4923618,249.0,221.0,247.0,228.0,4923618,-0.04633204633204633,-0.07692307692307693,-0.09124087591240876,-0.0942622950819672,40.96533233286173,22.89156626506024,32.93172690763052,-77.10843373493977,-57474605.40574992,-0.4061616662567252,-6426037,-23.997905705324513,288.0,273.0,280.5,289.5
2018-12-18 09:00:00,296.0,308.0,245.0,256.0,15132656,308.0,245.0,296.0,256.0,15132656,0.19838056680161945,0.12280701754385964,0.23694779116465864,0.1085972850678733,46.03636136337642,39.75903614457831,32.329317269076306,-60.24096385542169,-67322841.85019436,-0.4338004416384904,8706619,-22.252521173865375,288.0,273.0,280.5,289.5
2018-12-18 10:00:00,259.0,259.0,231.0,236.0,1999704,259.0,231.0,259.0,236.0,1999704,-0.125,-0.078125,-0.1590909090909091,-0.05714285714285714,43.182989795929984,27.710843373493976,30.12048192771084,-72.28915662650603,-68608365.85019436,-0.41815311998895566,6706915,-22.226906271168104,288.0,273.0,280.5,289.5
2018-12-18 11:00:00,236.0,236.0,217.0,229.0,2974709,236.0,217.0,236.0,229.0,2974709,-0.0888030888030888,-0.029661016949152543,-0.0888030888030888,-0.06060606060606061,42.19717918881218,23.49397590361446,30.321285140562242,-76.50602409638554,-67825547.69229963,-0.42761820675547824,3732206,-22.511944096448957,280.5,273.0,276.75,289.5
2018-12-18 12:00:00,229.0,234.0,219.0,230.0,1885761,234.0,219.0,229.0,230.0,1885761,-0.029661016949152543,0.004366812227074236,-0.00847457627118644,0.009216589861751152,42.39947823721637,24.096385542168676,25.100401606425702,-75.90361445783132,-66945525.89229964,-0.41122464198154607,5617967,-22.398945878689545,274.0,273.0,273.5,289.5
2018-12-19 09:00:00,286.0,290.0,211.0,223.0,24155498,290.0,211.0,286.0,223.0,24155498,0.24890829694323144,-0.030434782608695653,0.23931623931623933,-0.0365296803652968,41.30959868062719,19.879518072289155,22.48995983935743,-80.12048192771084,-83762644.75305913,-0.4408814504570081,-18537531,-22.61356042741147,274.0,283.5,278.75,289.5
2018-12-19 10:00:00,222.0,226.0,199.0,199.0,7239560,226.0,199.0,222.0,199.0,7239560,-0.22377622377622378,-0.10762331838565023,-0.2206896551724138,-0.05687203791469194,37.72873247705656,5.421686746987952,16.46586345381526,-94.57831325301204,-91002204.75305913,-0.5335298867573229,-25777091,-24.438531251311417,274.0,277.5,275.75,289.5
2018-12-19 11:00:00,204.0,244.0,202.0,219.0,2648741,244.0,202.0,204.0,219.0,2648741,-0.08108108108108109,0.10050251256281408,0.07964601769911504,0.01507537688442211,42.223351652371676,17.46987951807229,14.257028112449797,-82.53012048192771,-91506726.84829722,-0.528604222129215,-23128350,-23.994408321303524,274.0,253.5,263.75,289.5
2018-12-19 12:00:00,218.0,241.0,217.0,239.0,2565083,241.0,217.0,218.0,239.0,2565083,0.06862745098039216,0.091324200913242,-0.012295081967213115,0.07425742574257425,46.39043476905626,29.518072289156628,17.46987951807229,-70.48192771084338,-89369157.68163055,-0.5045305498987687,-20563267,-21.777566614644343,274.0,253.5,263.75,289.5
2018-12-22 09:00:00,328.0,348.0,199.0,279.0,23482325,348.0,199.0,328.0,279.0,23482325,0.5045871559633027,0.16736401673640167,0.44398340248962653,-0.08294930875576037,53.59861218486344,53.6144578313253,33.53413654618474,-46.3855421686747,-87635563.2185433,-0.42857631035530364,2919058,-16.601664233476697,273.0,273.5,273.25,289.5
2018-12-22 10:00:00,276.0,281.0,259.0,269.0,4555815,281.0,259.0,276.0,269.0,4555815,-0.15853658536585366,-0.035842293906810034,-0.1925287356321839,0.3015075376884422,51.72612930565396,44.5859872611465,42.57283912720948,-55.4140127388535,-88049728.2185433,-0.4226128664525671,-1636757,-13.154998103120505,273.0,273.5,273.25,289.5
2018-12-22 11:00:00,267.0,279.0,264.0,271.0,3626881,279.0,264.0,267.0,271.0,3626881,-0.03260869565217391,0.007434944237918215,-0.0071174377224199285,0.019305019305019305,52.08665438975631,45.859872611464965,48.020105901312256,-54.140127388535035,-88291520.28520997,-0.41452029098807147,1990124,-10.145159988418413,273.0,273.5,273.25,289.5
2018-12-22 12:00:00,270.0,279.0,268.0,270.0,6445278,279.0,268.0,270.0,270.0,6445278,0.011235955056179775,-0.0036900369003690036,0.0,0.015151515151515152,51.87803169928214,47.651006711409394,46.032288861340284,-52.348993288590606,-92393060.83066452,-0.41234440954675755,-4455154,-7.751182434296624,273.0,273.5,273.25,289.5
2018-12-23 09:00:00,279.0,326.0,279.0,299.0,9020616,326.0,279.0,279.0,299.0,9020616,0.03333333333333333,0.10740740740740741,0.16845878136200718,0.041044776119402986,57.22828588723098,67.11409395973155,53.54165776086864,-32.88590604026846,-93736556.83066452,-0.40011858684635837,4565462,-3.4738361177135175,273.0,273.5,273.25,289.5
2018-12-23 10:00:00,299.0,331.0,298.0,319.0,5913957,331.0,298.0,299.0,319.0,5913957,0.07168458781362007,0.06688963210702341,0.015337423312883436,0.06810035842293907,60.49075524980704,80.53691275167785,65.1006711409396,-19.463087248322147,-92123659.46702816,-0.40162195336878653,10479419,1.512390610295597,273.0,273.5,273.25,289.5
2018-12-23 11:00:00,319.0,334.0,308.0,308.0,5450679,334.0,308.0,319.0,308.0,5450679,0.06688963210702341,-0.034482758620689655,0.00906344410876133,0.03355704697986577,57.87597336447331,73.15436241610739,73.60178970917225,-26.845637583892618,-97574338.46702816,-0.38766257002610055,5028740,4.524250404487418,273.0,273.5,273.25,289.5
2018-12-23 12:00:00,307.0,315.0,280.0,309.0,2486636,315.0,280.0,307.0,309.0,2486636,-0.03761755485893417,0.003246753246753247,-0.05688622754491018,-0.09090909090909091,58.05348805999784,73.8255033557047,75.83892617449665,-26.174496644295303,-95940263.38131388,-0.376799121805698,7515376,6.912183287065204,273.0,273.5,273.25,289.5
2018-12-24 09:00:00,299.0,302.0,279.0,282.0,1475632,302.0,279.0,299.0,282.0,1475632,-0.026058631921824105,-0.08737864077669903,-0.04126984126984127,-0.0035714285714285713,51.716511471786674,55.70469798657718,67.56152125279642,-44.29530201342282,-97030947.903053,-0.3975936122176049,6039744,6.550453399773573,273.0,273.5,273.25,289.5
2018-12-24 10:00:00,282.0,285.0,266.0,272.0,2192965,285.0,266.0,282.0,272.0,2192965,-0.056856187290969896,-0.03546099290780142,-0.056291390728476824,-0.04659498207885305,49.55878993306032,48.993288590604024,59.50782997762864,-51.006711409395976,-97838882.3767372,-0.3472605174210671,3846779,5.394676953607473,273.0,296.5,284.75,289.5
2018-12-24 11:00:00,272.0,314.0,257.0,282.0,7228107,314.0,257.0,272.0,282.0,7228107,-0.03546099290780142,0.03676470588235294,0.10175438596491228,-0.03383458646616541,51.72773491619018,55.70469798657718,53.4675615212528,-44.29530201342282,-98726544.6398951,-0.32283888870898036,11074886,5.225397094604375,273.0,295.5,284.25,289.5
2018-12-24 12:00:00,282.0,308.0,260.0,271.0,2818667,308.0,260.0,282.0,271.0,2818667,0.03676470588235294,-0.03900709219858156,-0.01910828025477707,0.011673151750972763,49.220547232204105,48.32214765100671,51.00671140939597,-51.67785234899329,-100253322.59822842,-0.32092236658519224,8256219,4.155728862113506,273.0,295.5,284.25,289.5
2018-12-25 09:00:00,259.0,315.0,259.0,276.0,14450864,315.0,259.0,259.0,276.0,14450864,-0.08156028368794327,0.01845018450184502,0.022727272727272728,-0.0038461538461538464,50.39742036849308,51.67785234899329,51.90156599552572,-48.32214765100671,-105930447.74108557,-0.2911200429470632,22707083,3.669171370992615,273.0,295.5,284.25,289.5
2018-12-25 10:00:00,275.0,279.0,273.0,274.0,1955838,279.0,273.0,275.0,274.0,1955838,0.06177606177606178,-0.007246376811594203,-0.11428571428571428,0.05405405405405406,49.89924723532464,50.33557046979866,50.111856823266216,-49.66442953020134,-107234339.74108557,-0.29135491828412435,20751245,3.0866072811287495,277.5,295.5,286.5,289.5
2018-12-25 11:00:00,276.0,277.0,265.0,270.0,3336637,277.0,265.0,276.0,270.0,3336637,0.0036363636363636364,-0.014598540145985401,-0.007168458781362007,-0.029304029304029304,48.85901248289812,16.883116883116884,39.63217990063628,-83.11688311688312,-107790445.90775225,-0.300633662115132,17414608,2.2759190935587412,277.5,295.5,286.5,289.5
2018-12-25 12:00:00,271.0,278.0,269.0,278.0,1885173,278.0,269.0,271.0,278.0,1885173,-0.018115942028985508,0.02962962962962963,0.0036101083032490976,0.01509433962264151,51.0565999991308,27.272727272727273,31.497138208547607,-72.72727272727273,-105905272.90775225,-0.29307376599837043,19299781,2.2530047688978243,273.5,286.0,279.75,289.5
2018-12-26 09:00:00,299.0,299.0,274.0,298.0,2746390,299.0,274.0,299.0,298.0,2746390,0.1033210332103321,0.07194244604316546,0.07553956834532374,0.01858736059479554,56.13178339760455,53.246753246753244,32.467532467532465,-46.753246753246756,-103378594.10775225,-0.1758870289714474,22046171,3.8048182778512682,273.5,286.0,279.75,288.0
2018-12-26 10:00:00,298.0,299.0,290.0,295.0,3939817,299.0,290.0,298.0,295.0,3939817,-0.0033444816053511705,-0.010067114093959731,0.0,0.058394160583941604,55.207025820595625,49.35064935064935,43.290043290043286,-50.64935064935065,-102940836.6633078,-0.11031194693273369,18106354,4.737950590816467,273.5,286.0,279.75,288.0
2018-12-26 11:00:00,295.0,359.0,290.0,344.0,12412757,359.0,290.0,295.0,344.0,12412757,-0.010067114093959731,0.16610169491525423,0.20066889632107024,0.0,65.27102390996214,85.29411764705883,62.630506748153806,-14.705882352941176,-95924930.53287302,-0.037445540329244686,30519111,9.323875330708688,279.0,308.0,293.5,288.0
2018-12-26 12:00:00,344.0,348.0,321.0,331.0,4168997,348.0,321.0,344.0,331.0,4168997,0.16610169491525423,-0.0377906976744186,-0.03064066852367688,0.10689655172413794,61.33377989244568,72.54901960784314,69.06459553518378,-27.45098039215686,-97005781.6069471,-0.06385455746797714,26350114,11.773544282695923,279.0,309.0,294.0,288.0
2018-12-29 09:00:00,324.0,356.0,324.0,327.0,4481792,356.0,324.0,324.0,327.0,4481792,-0.05813953488372093,-0.012084592145015106,0.022988505747126436,0.009345794392523364,60.131853642126394,68.62745098039215,75.49019607843138,-31.372549019607842,-100647237.6069471,-0.12934905980109956,21868322,13.239540820205036,279.0,309.0,294.0,280.5
2018-12-29 10:00:00,326.0,410.0,325.0,390.0,15954267,410.0,325.0,326.0,390.0,15954267,0.006172839506172839,0.1926605504587156,0.15168539325842698,0.0030864197530864196,70.07764084517576,86.9281045751634,76.03485838779956,-13.071895424836601,-92200860.95988826,-0.03706634933443845,37822589,19.26287667357883,304.5,337.5,321.0,300.0
2018-12-29 11:00:00,393.0,402.0,379.0,387.0,9966116,402.0,379.0,393.0,387.0,9966116,0.20552147239263804,-0.007692307692307693,-0.01951219512195122,0.16615384615384615,69.19244939108992,84.9673202614379,80.17429193899783,-15.032679738562091,-95234026.6990187,-0.05867013343784846,27856473,23.52317824903031,304.5,337.5,321.0,300.0
2018-12-29 12:00:00,385.0,389.0,375.0,379.0,6347298,389.0,375.0,385.0,379.0,6347298,-0.020356234096692113,-0.020671834625323,-0.03233830845771144,-0.010554089709762533,66.77033467552025,79.73856209150327,83.87799564270152,-20.26143790849673,-97954297.27044727,-0.04703616416202841,21509175,25.954774318127306,304.5,339.5,322.0,300.0
2018-12-31 09:00:00,368.0,379.0,334.0,359.0,6303688,379.0,334.0,368.0,359.0,6303688,-0.04415584415584416,-0.052770448548812667,-0.02570694087403599,-0.10933333333333334,61.01951866663413,66.2251655629139,76.97701597195169,-33.77483443708609,-97253887.4926695,-0.03044878828638998,15205487,25.96864845410778,304.5,342.0,323.25,300.0
2018-12-31 10:00:00,369.0,369.0,338.0,350.0,2684746,369.0,338.0,369.0,350.0,2684746,0.002717391304347826,-0.025069637883008356,-0.026385224274406333,0.011976047904191617,58.57466467338241,60.264900662251655,68.74287610555628,-39.735099337748345,-97860120.46041143,-0.051087460005262576,12520741,24.965630771994427,304.5,350.0,327.25,300.0
2018-12-31 11:00:00,350.0,350.0,338.0,339.0,2293522,350.0,338.0,350.0,339.0,2293522,-0.051490514905149054,-0.03142857142857143,-0.051490514905149054,0.0,55.64033602427147,51.03448275862069,59.17484966126208,-48.96551724137931,-99771388.79374476,-0.020132430667715605,10227219,23.01778921738145,333.5,350.0,341.75,300.0
2018-12-31 12:00:00,339.0,340.0,334.0,339.0,1904157,340.0,334.0,339.0,339.0,1904157,-0.03142857142857143,0.0,-0.02857142857142857,-0.011834319526627219,55.64033602427147,51.03448275862069,54.11128872649768,-48.96551724137931,-98501950.79374476,-0.0235997057915687,12131376,21.229391541062114,333.5,365.5,349.5,300.0
2019-01-01 09:00:00,349.0,349.0,333.0,344.0,2345961,349.0,333.0,349.0,344.0,2345961,0.029498525073746312,0.014749262536873156,0.026470588235294117,-0.0029940119760479044,56.78167221295371,53.191489361702125,51.753484959647835,-46.808510638297875,-97622215.41874476,-0.0054037618855981885,14477337,19.9851552813696,333.5,367.0,350.25,300.0
2019-01-01 10:00:00,339.0,345.0,325.0,327.0,2550554,345.0,325.0,339.0,327.0,2550554,-0.02865329512893983,-0.04941860465116279,-0.011461318051575931,-0.024024024024024024,51.892930041172065,38.970588235294116,47.73218678520564,-61.029411764705884,-99662658.61874476,-0.01661371405543217,11926783,17.42644988951514,333.5,367.5,350.5,300.0
2019-01-01 11:00:00,326.0,329.0,313.0,319.0,2662141,329.0,313.0,326.0,319.0,2662141,-0.038348082595870206,-0.024464831804281346,-0.0463768115942029,-0.036923076923076927,49.72335283450353,24.166666666666668,38.77624808788763,-75.83333333333333,-100328193.86874476,-0.015223444890586496,9264642,14.584997518238652,333.5,357.5,345.5,300.0
2019-01-01 12:00:00,320.0,351.0,310.0,329.0,5119500,351.0,310.0,320.0,329.0,5119500,-0.018404907975460124,0.03134796238244514,0.0668693009118541,-0.009584664536741214,52.40220324636549,32.5,31.879084967320257,-67.5,-100702791.42972037,-0.004180708144727824,14384142,12.990298395235868,333.5,349.5,341.5,300.0
2019-01-02 09:00:00,320.0,342.0,296.0,298.0,2775211,342.0,296.0,320.0,298.0,2775211,0.0,-0.09422492401215805,-0.02564102564102564,-0.04516129032258064,44.488553607747306,1.7543859649122806,19.473684210526315,-98.24561403508773,-103236679.7340682,0.028108523175776362,11608931,9.11991818894893,333.5,337.5,335.5,300.0
2019-01-02 10:00:00,297.0,322.0,281.0,286.0,5107596,322.0,281.0,297.0,286.0,5107596,-0.071875,-0.040268456375838924,-0.05847953216374269,-0.05067567567567568,41.853649353565565,3.875968992248062,12.710118319053445,-96.12403100775194,-107098520.61211698,0.0013720999928939319,6501335,5.026373375602191,333.5,325.0,329.25,300.0
2019-01-02 11:00:00,286.0,297.0,269.0,274.0,4453823,297.0,269.0,286.0,274.0,4453823,-0.037037037037037035,-0.04195804195804196,-0.07763975155279502,-0.042704626334519574,39.34418088191655,3.5460992907801416,3.0588180826468254,-96.45390070921985,-109961692.54068841,-0.021690015861544006,2047512,0.8046345802382007,333.5,310.0,321.75,300.0
2019-01-02 12:00:00,273.0,299.0,270.0,299.0,3396940,299.0,270.0,273.0,299.0,3396940,-0.045454545454545456,0.09124087591240876,0.006734006734006734,0.0037174721189591076,46.536212384956336,22.55639097744361,9.992819753490602,-77.44360902255639,-106564752.54068841,-0.006489965666245523,5444452,-0.5178631606337945,333.5,310.0,321.75,300.0
2019-01-05 09:00:00,309.0,338.0,295.0,319.0,3783633,338.0,295.0,309.0,319.0,3783633,0.13186813186813187,0.06688963210702341,0.13043478260869565,0.09259259259259259,51.49152855159809,41.666666666666664,22.5897189782968,-58.333333333333336,-106124795.21510701,-0.026752399399102605,9228085,0.047335055613416444,334.5,310.0,322.25,300.0
2019-01-05 10:00:00,319.0,336.0,309.0,314.0,1703199,336.0,309.0,319.0,314.0,1703199,0.032362459546925564,-0.01567398119122257,-0.005917159763313609,0.04745762711864407,50.237902983033244,40.90909090909091,35.044049517733725,-59.09090909090909,-107197179.77066256,-0.04238714379026686,7524886,0.09075434121319859,334.5,310.0,322.25,300.0
2019-01-05 11:00:00,314.0,318.0,305.0,309.0,1359059,318.0,305.0,314.0,309.0,1359059,-0.01567398119122257,-0.01592356687898089,-0.05357142857142857,-0.012944983818770227,48.95436662155123,40.0,40.858585858585855,-60.0,-107719894.77066256,-0.13199053109468603,6165827,-0.27512233635070515,337.5,310.0,323.75,300.0
2019-01-05 12:00:00,309.0,311.0,296.0,309.0,1210109,311.0,296.0,309.0,309.0,1210109,-0.01592356687898089,0.0,-0.0220125786163522,-0.029508196721311476,48.95436662155123,48.78048780487805,43.22985957132298,-51.21951219512195,-106832481.5039959,-0.11373059283941352,7375936,-0.558642555680251,337.5,310.0,323.75,304.5
2019-01-06 09:00:00,311.0,338.0,299.0,314.0,2558358,338.0,299.0,311.0,314.0,2558358,0.006472491909385114,0.016181229773462782,0.08681672025723473,0.010135135135135136,50.423370813520194,54.8780487804878,47.886178861788615,-45.1219512195122,-107422871.8116882,-0.08020411919559259,9934294,-0.37554708585940944,339.5,305.5,322.5,304.5
2019-01-06 10:00:00,314.0,319.0,296.0,299.0,2218410,319.0,296.0,314.0,299.0,2218410,0.00964630225080386,-0.04777070063694268,-0.05621301775147929,-0.010033444816053512,46.13401902014639,36.58536585365854,46.7479674796748,-63.41463414634146,-109062566.1595143,-0.23834813120992984,7715884,-1.4243976769017195,339.5,303.5,321.5,304.5
2019-01-06 11:00:00,304.0,304.0,295.0,299.0,5497220,304.0,295.0,304.0,299.0,5497220,-0.03184713375796178,0.0,-0.047021943573667714,-0.0033783783783783786,46.13401902014638,36.58536585365854,42.68292682926829,-63.41463414634146,-109673368.38173652,-0.21786970122980256,13213104,-2.2299142633091833,339.5,303.5,321.5,304.5
2019-01-06 12:00:00,299.0,303.0,299.0,301.0,2557137,303.0,299.0,299.0,301.0,2557137,-0.01644736842105263,0.006688963210702341,-0.003289473684210526,0.013559322033898305,46.833388819475246,39.02439024390244,37.39837398373984,-60.97560975609756,-109673368.38173652,-0.18755025787146565,15770241,-2.676060714046514,339.5,304.0,321.75,304.5
2019-01-07 09:00:00,301.0,334.0,299.0,325.0,2824711,334.0,299.0,301.0,325.0,2824711,0.006688963210702341,0.07973421926910298,0.10231023102310231,0.0,54.472337366747304,68.29268292682927,47.96747967479674,-31.70731707317073,-108301365.89602223,-0.18722639794759707,18594952,-1.0805793211593482,339.5,316.5,328.0,304.5
2019-01-07 10:00:00,325.0,333.0,319.0,325.0,2343798,333.0,319.0,325.0,325.0,2343798,0.07973421926910298,0.0,-0.0029940119760479044,0.06688963210702341,54.472337366747304,76.71232876712328,61.34313397928499,-23.28767123287671,-108636194.18173651,-0.1836881710983792,20938750,0.18175600741221842,339.5,316.5,328.0,304.5
2019-01-07 11:00:00,325.0,368.0,309.0,357.0,12081709,368.0,309.0,325.0,357.0,12081709,0.0,0.09846153846153846,0.10510510510510511,-0.03134796238244514,62.7487722082049,88.88888888888889,77.9646335276138,-11.11111111111111,-101059529.21563482,-0.018817819073860178,33020459,3.721400427148751,339.5,331.5,335.5,304.5
2019-01-07 12:00:00,359.0,363.0,344.0,350.0,5274931,363.0,344.0,359.0,350.0,5274931,0.10461538461538461,-0.0196078431372549,-0.01358695652173913,0.11326860841423948,60.171891269630166,81.81818181818181,82.47313315806467,-18.181818181818183,-103002924.84721377,-0.06266671382085386,27745528,5.893812432046104,335.5,331.5,333.5,304.5
2019-01-08 09:00:00,348.0,433.0,342.0,424.0,14791396,433.0,342.0,348.0,424.0,14791396,-0.03064066852367688,0.21142857142857144,0.1928374655647383,-0.005813953488372093,72.86040683348602,94.47852760736197,88.39519943814423,-5.521472392638037,-91137299.4845764,0.07695454388852085,42536924,13.4318125791076,351.0,364.0,357.5,316.0
2019-01-08 10:00:00,425.0,434.0,400.0,409.0,7918508,434.0,400.0,425.0,409.0,7918508,0.22126436781609196,-0.03537735849056604,0.0023094688221709007,0.1695906432748538,68.12281194340045,82.01438848920863,86.10369930491747,-17.985611510791365,-94863656.19045876,0.053537954215578526,34618416,17.988002864365342,351.5,364.5,358.0,316.5
2019-01-08 11:00:00,408.0,410.0,389.0,410.0,7592473,410.0,389.0,408.0,410.0,7592473,-0.04,0.0024449877750611247,-0.055299539170506916,-0.0275,68.27093308637612,82.73381294964028,86.40890968207027,-17.26618705035971,-87271183.19045876,0.1380704805002756,42210889,21.432448211910753,351.5,364.5,358.0,316.5
2019-01-08 12:00:00,410.0,429.0,407.0,410.0,7302341,429.0,407.0,410.0,410.0,7302341,0.004901960784313725,0.0,0.046341463414634146,0.04627249357326478,68.27093308637612,82.73381294964028,82.49400479616305,-17.26618705035971,-92581976.64500421,0.08393558256246778,49513230,23.88684330515099,351.5,366.5,359.0,316.5
2019-01-09 09:00:00,449.0,490.0,414.0,416.0,11395919,490.0,414.0,449.0,416.0,11395919,0.0951219512195122,0.014634146341463415,0.14219114219114218,0.0171990171990172,69.2647234746868,62.05128205128205,75.83963598352086,-37.94871794871795,-103378110.4344779,-0.0013422131137804554,60909149,26.01622016389871,379.5,394.5,387.0,373.5
2019-01-09 10:00:00,415.0,436.0,415.0,429.0,3214704,436.0,415.0,415.0,429.0,3214704,-0.0757238307349666,0.03125,-0.11020408163265306,0.0024154589371980675,71.35795963817812,68.71794871794872,71.16768123962369,-31.28205128205128,-102306542.4344779,0.046308980390464556,64123853,28.425091262189426,379.5,399.5,389.5,373.5
2019-01-09 11:00:00,429.0,433.0,409.0,418.0,2321586,433.0,409.0,429.0,418.0,2321586,0.033734939759036145,-0.02564102564102564,-0.006880733944954129,-0.014457831325301205,67.18822616520357,63.07692307692308,64.61538461538463,-36.92307692307692,-102886938.9344779,0.0698078243177558,61802267,29.11095789176551,379.5,399.5,389.5,373.5
2019-01-09 12:00:00,417.0,424.0,400.0,400.0,3257066,424.0,400.0,417.0,400.0,3257066,-0.027972027972027972,-0.0430622009569378,-0.020785219399538105,-0.022004889975550123,60.91547564203695,53.84615384615385,61.88034188034189,-46.15384615384615,-106144004.9344779,0.00415732759128946,58545201,27.88067154295169,379.5,416.0,397.75,373.5
2019-01-12 09:00:00,420.0,459.0,389.0,459.0,7863951,459.0,389.0,420.0,459.0,7863951,0.007194244604316547,0.1475,0.08254716981132075,-0.0275,70.60332271324923,83.7696335078534,66.89757014364345,-16.230366492146597,-98280053.9344779,0.07450845974944588,66409152,31.30559623783597,379.5,416.0,397.75,373.5
2019-01-12 10:00:00,454.0,469.0,384.0,386.0,3924719,469.0,384.0,454.0,386.0,3924719,0.08095238095238096,-0.15904139433551198,0.02178649237472767,-0.012853470437017995,53.07416205487246,45.54973821989529,61.05517519130084,-54.45026178010471,-102020080.27565436,0.048155434374070646,62484433,27.808821041658803,379.5,437.0,408.25,373.5
2019-01-12 11:00:00,386.0,388.0,367.0,369.0,4830691,388.0,367.0,386.0,369.0,4830691,-0.14977973568281938,-0.04404145077720207,-0.17270788912579957,-0.044270833333333336,49.96318477434208,33.149171270718234,54.156180999488974,-66.85082872928177,-105930639.65660675,0.016122358571239146,57653742,23.39614735756959,379.5,428.5,404.0,373.5
2019-01-12 12:00:00,369.0,400.0,369.0,384.0,2758989,400.0,369.0,369.0,384.0,2758989,-0.04404145077720207,0.04065040650406504,0.030927835051546393,0.005449591280653951,52.60310386395687,41.43646408839779,40.045124526337105,-58.56353591160221,-106019639.30176803,0.007223426572707809,60412731,20.86888282037637,379.5,428.5,404.0,373.5
2019-01-13 09:00:00,372.0,403.0,339.0,349.0,5922345,403.0,339.0,372.0,349.0,5922345,0.008130081300813009,-0.09114583333333333,0.0075,-0.08130081300813008,46.4455710815128,6.622516556291391,27.06938397180247,-93.37748344370861,-110091251.48926803,-0.023024589883059603,54490386,15.858987438582517,380.0,414.5,397.25,373.5
2019-01-13 10:00:00,343.0,378.0,342.0,360.0,2661957,378.0,342.0,343.0,360.0,2661957,-0.07795698924731183,0.03151862464183381,-0.062034739454094295,0.008849557522123894,48.486490350058475,13.907284768211921,20.655421804300367,-86.09271523178808,-110091251.48926803,-0.008842353137106502,57152343,12.63061940511335,392.5,404.0,398.25,373.5
